品质,味道,价格,分量,外观,物流,客服,粗粒度
"[0.040664829313755035, 0.5326160788536072, 0.42671915888786316]","[0.022858398035168648, 0.4457949101924896, 0.5313467383384705]","[0.025104114785790443, 0.4503350257873535, 0.524560809135437]","[0.032185982912778854, 0.40857845544815063, 0.5592356324195862]","[0.0494481660425663, 0.3922116160392761, 0.5583401918411255]","[0.026329999789595604, 0.4291609227657318, 0.5445091128349304]","[0.018869340419769287, 0.42961743474006653, 0.5515132546424866]","[0.4258157014846802, 0.5203607082366943, 0.05382358655333519]"
"[0.007817454636096954, 0.451526939868927, 0.5406556129455566]","[0.01407733466476202, 0.45216289162635803, 0.5337597727775574]","[0.021216878667473793, 0.44763699173927307, 0.5311461091041565]","[0.013565593399107456, 0.42559874057769775, 0.5608357191085815]","[0.024530701339244843, 0.42311277985572815, 0.5523565411567688]","[0.01389475166797638, 0.43007439374923706, 0.5560309290885925]","[0.014844527468085289, 0.42708924412727356, 0.5580663084983826]","[0.19314895570278168, 0.559799075126648, 0.24705195426940918]"
"[0.010489758104085922, 0.4400824010372162, 0.5494279265403748]","[0.01436811126768589, 0.4451525807380676, 0.5404793620109558]","[0.01929665170609951, 0.4442092776298523, 0.5364941358566284]","[0.015656784176826477, 0.4122561514377594, 0.5720869898796082]","[0.01760709099471569, 0.43582406640052795, 0.5465688109397888]","[0.016689881682395935, 0.4233240485191345, 0.5599860548973083]","[0.019540591165423393, 0.41150468587875366, 0.5689547061920166]","[0.25732049345970154, 0.5375142097473145, 0.20516526699066162]"
"[0.009986529126763344, 0.43856143951416016, 0.5514520406723022]","[0.013629086315631866, 0.4632856547832489, 0.5230852365493774]","[0.013901238329708576, 0.45070940256118774, 0.5353893041610718]","[0.01333491038531065, 0.41539686918258667, 0.5712682604789734]","[0.021278083324432373, 0.416778564453125, 0.5619434118270874]","[0.010021409019827843, 0.4335828423500061, 0.5563957095146179]","[0.012557949870824814, 0.42962950468063354, 0.5578126311302185]","[0.21867726743221283, 0.5592606067657471, 0.2220621109008789]"
"[0.01291868556290865, 0.4408746659755707, 0.5462065935134888]","[0.013818852603435516, 0.4359266757965088, 0.5502545237541199]","[0.008691860362887383, 0.4557744860649109, 0.5355336666107178]","[0.008964438922703266, 0.430705726146698, 0.5603298544883728]","[0.05120624601840973, 0.5578802227973938, 0.3909135162830353]","[0.010626652278006077, 0.438484787940979, 0.5508885383605957]","[0.009379671886563301, 0.4369540810585022, 0.5536662340164185]","[0.15526731312274933, 0.5596711039543152, 0.2850615680217743]"
"[0.037005215883255005, 0.43100306391716003, 0.531991720199585]","[0.02251381054520607, 0.43754762411117554, 0.5399385690689087]","[0.017394300550222397, 0.44389286637306213, 0.5387128591537476]","[0.012626901268959045, 0.4290294349193573, 0.5583435893058777]","[0.020424148067831993, 0.4369724988937378, 0.5426033735275269]","[0.021476710215210915, 0.4214700758457184, 0.55705326795578]","[0.02173485793173313, 0.43173468112945557, 0.5465304851531982]","[0.3513471782207489, 0.5205190777778625, 0.12813380360603333]"
"[0.007756744045764208, 0.45654407143592834, 0.535699188709259]","[0.010575600899755955, 0.45508307218551636, 0.5343413949012756]","[0.0197872556746006, 0.45661067962646484, 0.5236020684242249]","[0.01621055230498314, 0.4193449914455414, 0.5644444227218628]","[0.023701855912804604, 0.4258386194705963, 0.550459623336792]","[0.014383934438228607, 0.4308112561702728, 0.554804801940918]","[0.01618584804236889, 0.42027512192726135, 0.5635390877723694]","[0.315030962228775, 0.5494605898857117, 0.1355084776878357]"
"[0.06724352389574051, 0.3947010934352875, 0.538055419921875]","[0.04331996664404869, 0.42629149556159973, 0.5303884744644165]","[0.08286327123641968, 0.3704076111316681, 0.5467291474342346]","[0.06134447827935219, 0.39350393414497375, 0.5451516509056091]","[0.08254028856754303, 0.3680454194545746, 0.5494142770767212]","[0.052047066390514374, 0.40755438804626465, 0.5403985381126404]","[0.056401677429676056, 0.379672646522522, 0.5639256238937378]","[0.4260665774345398, 0.553230881690979, 0.02070254646241665]"
"[0.0067304158583283424, 0.4481559693813324, 0.5451135635375977]","[0.013237405568361282, 0.45359593629837036, 0.5331666469573975]","[0.015159601345658302, 0.4510935842990875, 0.5337467789649963]","[0.010496261529624462, 0.4204913079738617, 0.5690123438835144]","[0.0239787045866251, 0.4235632121562958, 0.5524580478668213]","[0.010926993563771248, 0.44290691614151, 0.5461660623550415]","[0.013711567036807537, 0.4275839030742645, 0.5587045550346375]","[0.27032923698425293, 0.5413524508476257, 0.1883183717727661]"
"[0.07081693410873413, 0.37170249223709106, 0.5574806332588196]","[0.046811189502477646, 0.40454742312431335, 0.5486413836479187]","[0.12887859344482422, 0.34124141931533813, 0.5298799872398376]","[0.05884866788983345, 0.38662809133529663, 0.554523229598999]","[0.06162261217832565, 0.3772018253803253, 0.5611756443977356]","[0.047367583960294724, 0.4040638506412506, 0.548568606376648]","[0.06259555369615555, 0.37199485301971436, 0.5654096007347107]","[0.44283434748649597, 0.531783401966095, 0.025382302701473236]"
"[0.014196786098182201, 0.4545629620552063, 0.5312402844429016]","[0.017163477838039398, 0.596355676651001, 0.38648083806037903]","[0.024901635944843292, 0.5604944825172424, 0.4146038889884949]","[0.021983282640576363, 0.42320993542671204, 0.5548068284988403]","[0.017734427005052567, 0.43715164065361023, 0.5451139211654663]","[0.007216948084533215, 0.44618791341781616, 0.5465951561927795]","[0.00941273383796215, 0.43745145201683044, 0.5531358122825623]","[0.045431967824697495, 0.552057147026062, 0.4025108516216278]"
"[0.0036800974048674107, 0.5729677081108093, 0.4233522415161133]","[0.006969986017793417, 0.5994012951850891, 0.39362868666648865]","[0.00884483102709055, 0.4197167158126831, 0.5714384317398071]","[0.007620424032211304, 0.5213055610656738, 0.47107401490211487]","[0.014097923412919044, 0.4386729300022125, 0.5472291707992554]","[0.0018958933651447296, 0.44044023752212524, 0.5576639175415039]","[0.0035815148148685694, 0.45328763127326965, 0.5431308746337891]","[0.019132720306515694, 0.5530552864074707, 0.42781198024749756]"
"[0.008519627153873444, 0.5377891063690186, 0.4536912739276886]","[0.010183091275393963, 0.4563855826854706, 0.533431351184845]","[0.011067870073020458, 0.502470076084137, 0.4864620268344879]","[0.010648609139025211, 0.4252018928527832, 0.5641495585441589]","[0.022748524323105812, 0.4296669065952301, 0.5475844740867615]","[0.01475104596465826, 0.43858271837234497, 0.5466662645339966]","[0.015576792880892754, 0.42293113470077515, 0.5614920854568481]","[0.18118615448474884, 0.5753267407417297, 0.243487149477005]"
"[0.021521717309951782, 0.5869535803794861, 0.39152467250823975]","[0.02397938258945942, 0.4495702385902405, 0.5264503359794617]","[0.05985741689801216, 0.574695885181427, 0.3654467761516571]","[0.012248015031218529, 0.4398925304412842, 0.5478594303131104]","[0.06999783217906952, 0.5220824480056763, 0.407919704914093]","[0.009121696464717388, 0.44829294085502625, 0.5425853729248047]","[0.01231633871793747, 0.49103307723999023, 0.4966505765914917]","[0.02713179402053356, 0.5082396268844604, 0.46462857723236084]"
"[0.022191962227225304, 0.49592697620391846, 0.4818810224533081]","[0.03955733776092529, 0.42560911178588867, 0.534833550453186]","[0.02688554860651493, 0.5376071333885193, 0.4355073869228363]","[0.011919191107153893, 0.4251537322998047, 0.5629270672798157]","[0.014867937192320824, 0.4354304373264313, 0.5497015714645386]","[0.01306062936782837, 0.43488264083862305, 0.5520566701889038]","[0.014280390925705433, 0.41524678468704224, 0.5704728364944458]","[0.09471064805984497, 0.5488683581352234, 0.35642096400260925]"
"[0.018719185143709183, 0.5672756433486938, 0.41400519013404846]","[0.008983466774225235, 0.5639927387237549, 0.4270237684249878]","[0.025952637195587158, 0.5529834628105164, 0.4210638999938965]","[0.01287335529923439, 0.42812854051589966, 0.558998167514801]","[0.01639189012348652, 0.44028931856155396, 0.5433188080787659]","[0.007250514347106218, 0.4443756639957428, 0.548373818397522]","[0.010106449946761131, 0.4300013780593872, 0.5598921179771423]","[0.05855659767985344, 0.5652667284011841, 0.37617671489715576]"
"[0.009325304999947548, 0.5653241872787476, 0.425350546836853]","[0.011911573819816113, 0.5031770467758179, 0.48491141200065613]","[0.013808133080601692, 0.4620538651943207, 0.5241380333900452]","[0.00735600246116519, 0.43035370111465454, 0.5622903108596802]","[0.01803339272737503, 0.43179383873939514, 0.550172746181488]","[0.005922707729041576, 0.4360845386981964, 0.5579927563667297]","[0.007961450144648552, 0.45089811086654663, 0.5411403775215149]","[0.08127900213003159, 0.5627303719520569, 0.35599058866500854]"
"[0.00962989404797554, 0.5737476944923401, 0.4166223704814911]","[0.004380935803055763, 0.4767247438430786, 0.5188943147659302]","[0.011296126060187817, 0.47842735052108765, 0.5102765560150146]","[0.0067883264273405075, 0.4138295650482178, 0.5793821215629578]","[0.015761874616146088, 0.49725180864334106, 0.486986368894577]","[0.006261091213673353, 0.4689106345176697, 0.524828314781189]","[0.00658441660925746, 0.453562468290329, 0.5398531556129456]","[0.08235924690961838, 0.5353885889053345, 0.38225212693214417]"
"[0.004355308134108782, 0.5638757944107056, 0.4317688047885895]","[0.003457027953118086, 0.4760673940181732, 0.5204755663871765]","[0.011287031695246696, 0.5105106830596924, 0.47820234298706055]","[0.0075708478689193726, 0.43226057291030884, 0.5601685643196106]","[0.013649789616465569, 0.435344398021698, 0.5510057806968689]","[0.004920984618365765, 0.4438715875148773, 0.5512074828147888]","[0.006958598271012306, 0.4329164922237396, 0.5601248741149902]","[0.07935860008001328, 0.5634865760803223, 0.35715481638908386]"
"[0.0062217311933636665, 0.44323959946632385, 0.5505387187004089]","[0.0466221384704113, 0.40398216247558594, 0.5493956804275513]","[0.016103671863675117, 0.46730688214302063, 0.5165894627571106]","[0.033775947988033295, 0.49854880571365356, 0.46767517924308777]","[0.04062443971633911, 0.5480358600616455, 0.41133978962898254]","[0.04367043823003769, 0.3963437080383301, 0.559985876083374]","[0.027910197153687477, 0.4105870723724365, 0.5615027546882629]","[0.12783725559711456, 0.5186168551445007, 0.3535458743572235]"
"[0.005840719677507877, 0.47578051686286926, 0.5183787941932678]","[0.009507914073765278, 0.5751921534538269, 0.4152999222278595]","[0.012812814675271511, 0.5515099167823792, 0.43567726016044617]","[0.06544274836778641, 0.4983101487159729, 0.4362471401691437]","[0.008934429846704006, 0.4509836435317993, 0.5400819182395935]","[0.004414529539644718, 0.4354700744152069, 0.5601154565811157]","[0.006982048507779837, 0.4333431124687195, 0.559674859046936]","[0.06759482622146606, 0.5668672919273376, 0.3655378818511963]"
"[0.19990211725234985, 0.4022243916988373, 0.39787349104881287]","[0.28295642137527466, 0.3477165102958679, 0.36932700872421265]","[0.0795166939496994, 0.3702690601348877, 0.5502142906188965]","[0.11310047656297684, 0.35347574949264526, 0.5334237217903137]","[0.1255614012479782, 0.3242742121219635, 0.5501644015312195]","[0.13898327946662903, 0.3263336718082428, 0.5346830487251282]","[0.13697457313537598, 0.28069478273391724, 0.582330584526062]","[0.48701849579811096, 0.48066404461860657, 0.03231746703386307]"
"[0.008504129946231842, 0.4610062539577484, 0.5304895639419556]","[0.01039914321154356, 0.46093130111694336, 0.528669536113739]","[0.011563763953745365, 0.5763037204742432, 0.4121324419975281]","[0.009266575798392296, 0.4239274263381958, 0.5668059587478638]","[0.02072994038462639, 0.43383702635765076, 0.545432984828949]","[0.007686488330364227, 0.4388359487056732, 0.5534775853157043]","[0.008425334468483925, 0.4426320791244507, 0.5489425659179688]","[0.09472105652093887, 0.5659262537956238, 0.33935263752937317]"
"[0.0038309169467538595, 0.44692400097846985, 0.5492451786994934]","[0.009315543808043003, 0.58248370885849, 0.40820080041885376]","[0.009008894674479961, 0.5655147433280945, 0.42547643184661865]","[0.01048390381038189, 0.41978931427001953, 0.5697267651557922]","[0.01585906557738781, 0.4331178069114685, 0.5510230660438538]","[0.0060347141698002815, 0.4266168475151062, 0.5673484206199646]","[0.005506080575287342, 0.44043028354644775, 0.5540635585784912]","[0.07480215281248093, 0.5517710447311401, 0.3734268248081207]"
"[0.1558392196893692, 0.33377474546432495, 0.5103859901428223]","[0.03195185959339142, 0.4402848482131958, 0.5277632474899292]","[0.0725906640291214, 0.36455023288726807, 0.562859058380127]","[0.03601806238293648, 0.37663429975509644, 0.587347686290741]","[0.06884936988353729, 0.37209391593933105, 0.5590566992759705]","[0.054081857204437256, 0.3976312279701233, 0.5482869148254395]","[0.047295939177274704, 0.3553870618343353, 0.5973170399665833]","[0.5393891334533691, 0.4381418824195862, 0.02246892638504505]"
"[0.0043073175475001335, 0.45406588912010193, 0.5416268110275269]","[0.009437082335352898, 0.45864343643188477, 0.5319194197654724]","[0.01186409778892994, 0.45529332756996155, 0.5328425765037537]","[0.008712067268788815, 0.4261513650417328, 0.5651366710662842]","[0.01611083745956421, 0.5489597916603088, 0.43492937088012695]","[0.0056777214631438255, 0.43339329957962036, 0.5609289407730103]","[0.006846975535154343, 0.4395456910133362, 0.5536074042320251]","[0.07339417189359665, 0.5504356026649475, 0.37617015838623047]"
"[0.008729645051062107, 0.4457244873046875, 0.5455458760261536]","[0.012234496884047985, 0.4637974500656128, 0.5239680409431458]","[0.010351721197366714, 0.4550996422767639, 0.5345486402511597]","[0.011824579909443855, 0.4184434413909912, 0.5697320103645325]","[0.025058988481760025, 0.42446640133857727, 0.5504746437072754]","[0.00811250414699316, 0.4369144141674042, 0.5549730658531189]","[0.008185730315744877, 0.4297519028186798, 0.5620623826980591]","[0.17542636394500732, 0.5588672757148743, 0.2657064199447632]"
"[0.017806096002459526, 0.4533063769340515, 0.5288875102996826]","[0.014875903725624084, 0.45757341384887695, 0.5275506377220154]","[0.02249775640666485, 0.44707438349723816, 0.5304278135299683]","[0.014498552307486534, 0.4264909625053406, 0.5590105056762695]","[0.027849718928337097, 0.4217117726802826, 0.5504385232925415]","[0.016079289838671684, 0.43286266922950745, 0.5510579943656921]","[0.01782114803791046, 0.42046111822128296, 0.5617178082466125]","[0.2629084289073944, 0.5547806620597839, 0.18231087923049927]"
"[0.029070599004626274, 0.4711024761199951, 0.49982696771621704]","[0.12598279118537903, 0.38625654578208923, 0.48776063323020935]","[0.010986125096678734, 0.4525558054447174, 0.5364580750465393]","[0.005455504637211561, 0.4602561891078949, 0.5342883467674255]","[0.04686768725514412, 0.42465412616729736, 0.5284782648086548]","[0.07131940126419067, 0.5414838790893555, 0.3871966600418091]","[0.04271789267659187, 0.5805991291999817, 0.3766830265522003]","[0.14833204448223114, 0.47511836886405945, 0.376549631357193]"
"[0.020601671189069748, 0.4468398690223694, 0.5325585007667542]","[0.0153829799965024, 0.45129865407943726, 0.5333184003829956]","[0.022839777171611786, 0.446323037147522, 0.5308371782302856]","[0.015727384015917778, 0.4194493889808655, 0.5648231506347656]","[0.025895405560731888, 0.4237125515937805, 0.5503920316696167]","[0.016728604212403297, 0.4369979798793793, 0.5462734699249268]","[0.01693570800125599, 0.422503262758255, 0.5605610609054565]","[0.30206984281539917, 0.5503498315811157, 0.1475803107023239]"
"[0.008450638502836227, 0.45477426052093506, 0.5367751121520996]","[0.02433551289141178, 0.4371340274810791, 0.5385304689407349]","[0.022053003311157227, 0.43803006410598755, 0.5399169921875]","[0.02788071520626545, 0.3964841961860657, 0.5756351351737976]","[0.03268882632255554, 0.4181136190891266, 0.5491975545883179]","[0.025316298007965088, 0.4228285849094391, 0.5518551468849182]","[0.017416026443243027, 0.41932412981987, 0.5632598996162415]","[0.3531985878944397, 0.5719292759895325, 0.07487215846776962]"
"[0.0035662204027175903, 0.44653984904289246, 0.549893856048584]","[0.010835138149559498, 0.4572972059249878, 0.5318677425384521]","[0.006124237086623907, 0.561000406742096, 0.4328753352165222]","[0.009427674114704132, 0.42309293150901794, 0.5674794316291809]","[0.019331801682710648, 0.5562161803245544, 0.424452006816864]","[0.009456807747483253, 0.5209018588066101, 0.4696412682533264]","[0.006020688451826572, 0.44082292914390564, 0.5531563758850098]","[0.07192318886518478, 0.5623869895935059, 0.36568984389305115]"
"[0.01883610151708126, 0.5773801207542419, 0.40378376841545105]","[0.007195737212896347, 0.46085721254348755, 0.531947135925293]","[0.019423067569732666, 0.4428917467594147, 0.5376851558685303]","[0.009996508248150349, 0.4248148500919342, 0.5651885867118835]","[0.014233929105103016, 0.4332387149333954, 0.5525273680686951]","[0.009563925676047802, 0.4363933503627777, 0.5540428161621094]","[0.008694294840097427, 0.44945836067199707, 0.541847288608551]","[0.14785511791706085, 0.5420750975608826, 0.3100697100162506]"
"[0.00552019476890564, 0.578340470790863, 0.4161393344402313]","[0.005547985900193453, 0.45026299357414246, 0.5441890358924866]","[0.025515273213386536, 0.5619908571243286, 0.41249391436576843]","[0.010686883702874184, 0.4303800165653229, 0.5589331388473511]","[0.021528063341975212, 0.42720210552215576, 0.5512697696685791]","[0.007559146732091904, 0.4411161541938782, 0.5513246655464172]","[0.0076197609305381775, 0.43947091698646545, 0.5529093742370605]","[0.06309458613395691, 0.5626445412635803, 0.3742608428001404]"
