评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
买了两个，其中一个确实非常好吃，吃完了漱口后，还留有余味，非常满意。但是另外一个是除了水还是很多以外，几乎没有任何味道，我偿了几口扔了。老家也种柚子，平时柚子也吃得很多。买的柚子好不好吃就是碰运气的。最近上饶不便去，不然还是要亲自去柚。,2,0,2,2,2,2,2,1
太难吃了，皮厚又苦又干,2,2,2,2,2,2,2,0
一如既往的好评，非常不错,2,2,1,2,2,2,2,1
好,2,2,2,2,2,2,2,1
的确是大的柚子，果子大，符合商家描述。皮比较厚，从照片也可以看出，是一个完好的果子，只是季节原因保存时间长了水分挥发多，口感显得干燥，我一直在买柚子，国内的都存在保存期长水分少的问题，建议多多改进。,1,2,2,2,2,2,2,1
非常的喜欢，很好吃，下次多购买一点，发货物流也非常快,2,2,2,2,2,1,2,1
真心无语、完全不能吃了还要放着卖？干的一点水份都没有还要放卖、真是能骗一个算一个吗？,2,2,2,2,2,2,2,0
第一次买很好吃，果嫩，水多,2,2,2,2,2,2,2,1
快递到是还可以，可柚子实在是太差了，是不是把要留种的寄给我了，老大的个头呀，拿起来屁轻屁轻的，打开包装，妈呀，估计是把柚子太爷爷搬来了，外皮厚的呀还抽抽的大大的褶子，里面果实拳头大小了，不光这样，掰开那大大的种子，大拇哥指甲盖大，我也就是住楼房，我要是有院子，真的直接种上了，直接扔了，太糊弄人了也,1,2,2,0,1,2,2,2
水分很足，皮很厚，好吃,1,2,2,2,2,2,2,1
推荐朋友购买，特别好吃,2,2,2,2,2,2,2,1
物流很快，第二天到，依然很好吃,2,2,2,2,2,2,2,1
柚子又老又苦,2,2,2,2,2,2,2,0
吃完还行还会再看看,2,2,2,2,2,2,2,1
水分很多。口感还是不错的。甜度中等。不酸。就是包装箱不咋地,1,1,2,2,2,2,2,1
口感特备好，水分非常多。剥开的时候水主流。吃着过瘾,1,1,2,2,2,2,2,1
犹豫了半天还是买了。不后悔水分特别多。就是包装不咋地，送人还是选礼盒装的,1,2,2,2,2,2,2,1
？这种货也发？！,2,2,2,2,2,2,2,0
水分多是柚的特点，但这次买的没有百果园买的甜。,1,2,2,2,2,2,2,0
物流速度在春节期间还算不错，一共四个柚子，外表看起来不怎么样，但是剥开之后吃了一下，发现水分含量非常丰富，一点都不酸，味道很不错,2,1,1,2,2,2,2,1
京东好货好品质好服务好物流，为京东点赞为京东点赞为京东快递小哥点赞为京东客服点赞！,1,2,2,2,2,1,2,1
皮厚瓤小,2,2,2,2,2,2,2,0
比较酸，皮厚，水分很足,2,2,2,2,2,2,2,1
没想到老家还有这样的好东西，水分足，特别足,1,2,2,2,2,2,2,1
月日中通快递员送到了妈妈驿站，但既没电话通知也没发提货码，直至月日自己查快件信息才发现，希望商家今后不要和中通快递合作，尤其是包头中通，简直垃圾,2,2,2,2,2,2,0,0
跟超市买的不一样味道太酸了,2,2,2,2,2,2,2,1
东西挺好的，就是价格偏贵,2,2,0,2,2,2,2,1
水果很好。建议冬季北方订单做必要的保温防冻措施，现在全靠皮厚,2,2,2,2,2,2,2,1
家乡的柚真不错，好吃。以后还会光顾的。,2,2,1,2,2,2,2,1
发货快，包装得好，柚子收到完好无损。很好吃的柚子，水分足，稍微有点酸，甜度也够。好吃和好评！,1,1,2,2,1,1,2,1
有柚子的味道,2,2,2,2,2,2,2,1
不好吃，比去年买的差远了,2,2,2,2,2,2,2,1
酸甜可口水多，我喜欢糊，就是里面的子大有的比西瓜子还大,2,2,2,2,2,2,2,1
幸亏先买了一个品尝款，这个柚子和柚风马牛不相及，了解柚的看照片就知道。不知是什么窜种的杂品，味道平淡还有点酸，真正柚的甜香完全没有啊,2,0,2,2,2,2,2,0
味道还不错，价格也很合适，物美价廉！！！！！！,2,1,1,2,2,2,2,1
水汽有点大，不甜，还都有籽了，物流有点慢,2,2,2,2,2,0,2,0
送人的，没有看到，应该好吃吧，物流给力很快就收到了！,2,2,2,2,2,1,2,1
收到一箱有四个大柚子。两个不甜，两个味道还行。没有想象中的柚那么好吃。,1,2,2,2,2,2,2,1
皮厚肉少，籽还大我都不知道评价里的是什么情况,2,2,2,2,2,2,2,1
不好，核小皮厚，肉咬不动,2,2,2,2,2,2,2,0
说实话柚子好吃是真，看相一般，价格高了的。性价比一般,2,2,1,2,2,2,2,1
发货快，包装得好，柚收到完好无损。很好吃的柚，品种好，新鲜，汁多，甜甜的稍微带一点点酸。好评和吃完再来！,2,2,1,2,1,1,2,1
不错,2,2,1,2,2,2,2,1
发货快，包装得好，柚收到完好无损。很好吃的柚，新鲜，水分足，也蛮甜的，带一点点酸，好吃和好评，吃完再来。,1,2,2,2,1,1,2,1
今年的柚子不错，口感很好,1,1,2,2,2,2,2,1
柚子皮特别厚，而且味道不如传闻的好吃,2,2,2,2,2,2,2,0
买了直接发给外地亲戚家的，尴尬的是其中一个有小虫。。。,2,2,2,2,2,2,2,1
京东自营产品，值得信赖。。,2,2,2,2,2,2,2,1
还可以会考虑再买的,2,2,2,2,2,2,2,1
收到了一个坏果，联系店家后立马补寄了一个好的。水果难免有磕碰损坏，商家信誉不错～柚子本身水分较多，但不知道是不是过了季节，不是很甜。,1,2,1,2,2,2,2,1
没传说的那么惊艳,2,2,2,2,2,2,2,1
根本就不是柚，口感不好，水份也不足,2,0,2,2,2,2,2,0
感觉还不错，性价比还行。值得试试,2,2,1,2,2,2,2,1
外观很大果，掂起来不是很重，外皮看上去较粗糙，打开后心是红心，外瓤较厚，水份略感不足，甜度还好。总体马马虎虎。,2,1,2,2,2,2,2,1
还行,2,2,2,2,2,2,2,1
还可以吧，就是水分不多,0,2,2,2,2,2,2,1
东西居然是大籽的，不和以前其他渠道买的一样。,2,2,2,2,2,2,2,1
第一次买这家的，包装盒没个统一的物流还算快，剥开一个尝了尝不甜。。。,2,1,2,2,2,1,2,1
这个柚不是正宗柚味道不好水份还干关键连肉都干的发白了根本没法吃还死贵买了两个打开直接扔了,2,2,2,2,2,2,2,1
完全名不符实，带酸不甜，这么厚的皮居然瓤都能干了，是有多不新鲜啊！,2,2,0,2,2,2,2,0
收到了柚子没有介绍的好吃，口感淡淡的，很失望,0,2,2,2,2,2,2,1
买过很多品种的柚子，第一次买到是有籽的柚子，最主要皮特别厚，酸得来，不会再购买了,2,2,2,2,2,2,2,0
果很大，但里面肉只有一半，有点干,2,2,2,2,2,2,2,1
柚子是柚，品质不高，包装简单配送也还蛮快。,1,2,2,2,1,1,2,1
柚子收到啦表皮光滑，剥开皮薄肉多果肉也饱满好剥，果肉嫩嫩哒好吃，很新鲜而且水分足。没有坏的了，个头很均匀每个都是好好的，没有磕碰，拿着手里看着新鲜是真的好吃，汁水甘甜，柚子的香味很浓。不会像其它的柚子一样有点苦味，柚子皮里的囊比较厚，很适合清炒。,1,2,1,2,2,2,2,1
柚子已收，看上去不错，两个斤多，用京豆抵现，价格实惠，还未品尝，相信品质不错京东大平台，进入商家正规，待品尝后再追评。需要尝鲜的朋友可以下单。商家服务热情，快递送货上门。给予点赞。,1,2,1,1,2,1,1,1
第一次网上购买柚子，听说柚好吃，试了试，感觉没那么好吃，皮厚不说，就是这品种，但水份肯定不算多，有干感，可能买大了，肉老核多，性价比不高。,1,2,0,2,2,2,2,2
酸的都快掉牙了，大家千万不要买，不要上当了，完全没有一丝甜味。幸亏我就买了一个，东西直接扔了。,2,2,2,2,2,2,2,1
每年这个季节必须品尝的最好吃的柚子,1,2,2,2,2,2,2,1
极差的体验。个柚子，没有一个能吃的。柚我吃过多次，这次的个柚子根本不是柚。,0,2,2,2,2,2,0,0
元就买这种精品，晕死我了。差评差评差评,2,2,2,2,2,2,2,1
汁超级多，最好吃的柚子，没有之一，哈哈,1,2,2,2,2,2,2,1
口感偏酸，比较新鲜。,2,2,1,2,2,2,2,1
完美，产品很惊艳，性价比合适，希望用的长久！双十一的宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,2,2,1,2,1,2,2,1
水份还可以，味道就一般，很淡,2,0,2,2,2,2,2,1
不知道说啥好，本来是相信江西广播电台的直播推荐的，再加上又是助农产品，贵就贵一点（菜场是这一半的价格）好吃就行，谁知道收到后太让人失望，个柚子一个有水分，一个没水分。而且都不甜，一点都不甜。跟菜场比差远了，江西广播电台也让我失望，以后再也不相信这种什么直播带货了,2,2,2,2,2,2,2,0
没有水分了,0,2,2,2,2,2,2,0
东西已经收到了，和介绍一样，但是味道没有想象中的好，尝尝就好了，价格比普通的贵三倍多，性价比不高。,2,0,0,2,2,2,2,0
柚子太次了一点也不好,2,2,2,2,2,2,2,1
很好吃，水分足，每年都买。,1,2,2,2,2,2,2,1
不是两箱吗？一个盒子柚子，皮很厚，肉很小，很干，很苦，和我们去年买的不一样，质量很差,0,2,2,2,0,2,2,1
货很不好，瓤很小，水分也不多。,0,2,2,2,2,2,2,0
不如第一次买的好吃了，遗憾。,2,2,0,2,2,2,2,1
基本不能吃，一股子坏掉的味道，每天从外面回家，进门一股子坏味儿，全都扔掉了，既然不是这个季节的水果，干嘛还要卖！太了！,2,1,2,2,2,2,2,0
这个真的是不知道该说什么了，买的两个礼盒装，没有礼盒，用破箱子装的，但是给了三个，这就无所谓了，反正自己吃，但是这柚子也太差了吧，本来个头就不大，皮占了一半，剥皮之前是柚子，剥皮之后就剩个橘子了。。。其中一个还跟水似的,0,2,2,2,2,2,2,0
里面都是坏的，估计放了好多了，商家要求退钱,2,2,2,2,2,2,0,1
估计不是吃柚子的季节，不好吃,2,2,2,2,2,2,2,1
不是柚子的季节，但是很好吃,2,2,2,2,2,2,2,1
味道很好，口感正宗，,2,1,2,2,2,2,2,1
比较一般，去超市买的小，不知道是不是季节不够，快递太慢了,2,2,2,2,2,2,2,1
口感还不错,2,1,2,2,2,2,2,1
这次的柚子皮特别厚，不好吃！,2,2,2,2,2,2,2,1
外包装有点瑕疵啊,2,2,2,2,0,2,2,1
物美价廉，老人喜欢。,2,2,2,2,2,2,2,1
皮厚籽多，味道难吃！芋头还有坏的！,2,0,2,2,2,2,2,0
正宗，确确实实的江西名牌产品！,2,2,2,2,2,2,2,1
有一块皮发黑了，其他还好,2,2,2,2,2,2,2,1
只能说不是吃柚子的季节，千万不要去买。难吃，有点苦，味道怪怪的，很不新鲜。还好是看直播便宜买的，不然被商家。,2,0,0,2,2,2,2,0
非常差的柚子，非常酸，不新鲜，有个别都腐烂臭了，售后也差,0,2,0,2,2,2,2,0
非常好，非常好。特别好吃。,2,2,2,2,2,2,2,1
比超市的普通品种好吃，但不够新鲜，也不够正宗，有点遗憾！,2,2,1,2,2,2,2,1
帮同事买点的，不错，也好吃,2,2,1,2,2,2,2,1
发霉了，蒂不新鲜，口感也没有实体店买的好，肉质也没有拉丝感和嚼劲，应该是放久了，价格跟新鲜的卖一个价感觉有些不值得。,2,0,0,2,2,2,2,0
垃圾都烂了,2,2,2,2,2,2,2,0
东西收到后已经坏了！,2,2,2,2,2,2,2,0
老太太说太好吃了，看着丑，但水灵灵的很甜，吃完再回购，谢谢店家！,2,2,2,2,2,2,1,1
好吃，一直买它，喜欢,2,2,2,2,2,2,2,1
超级好吃，一直买它，喜欢,2,2,2,2,2,2,2,1
超级好吃，多次买它，喜欢,2,2,2,2,2,2,2,1
柚名气很大，京东能淘到很多好宝贝,2,2,2,2,2,2,2,1
好吃的,2,2,2,2,2,2,2,1
无话可说，看图吧！,2,2,2,2,2,2,2,0
皮太厚了，剥开里面几乎啥都没有，坑大发了,2,2,2,2,2,2,2,0
号下单，号终于到了，打开箱子就发现坏了一个，疫情期间这也情有可原吧，尝过后再追评。,2,2,2,2,2,2,2,1
果实在太小，很酸,2,2,2,2,2,2,2,1
四个打开全扔掉了不知道是个人口味不同还是怎么了不是一般的难吃,2,2,2,2,2,2,2,1
太干了。太难吃了。里面都烂了。与宣传不符,2,2,2,2,2,2,2,1
这次买的非常不好，皮超厚，剥出来柚子肉一点点，还酸，没有上次买的两个装的好，下次不敢买了,2,2,2,2,2,2,2,0
挺好的,2,2,2,2,2,2,2,1
水分超足，口感超棒，是我吃过的最好吃的柚子，一定分享给周围的亲戚和好朋友，柚子，果然名不虚传，一下子就爱上了，清凉爽口，是柚子最最原始的味道，实在太赞，家里吃过的人都赞不绝口，好评！以后还会回购的,1,2,2,2,2,2,2,1
在疫情当下能坚持快速配送值得,2,2,2,2,2,1,2,1
非常好，肉是红白相间，水份很足，再买！,2,2,2,2,2,2,2,1
非常好，非常喜欢，物流也快。,2,2,2,2,2,1,2,1
非常不错，还行，物美价廉,2,2,1,2,2,2,2,1
不错，好吃，物美价廉,2,2,1,2,2,2,2,1
非常好吃，不错，物美价廉,2,2,1,2,2,2,2,1
还不错，物美价廉，会再买,2,2,1,2,2,2,2,1
不错，物美价廉，会再买,2,2,1,2,2,2,2,1
不错，非常好吃，价格再优惠点就更好了,2,2,1,2,2,2,2,1
非常好吃，不错会再买,2,2,1,2,2,2,2,1
非常好，会继续买的，不错,2,2,1,2,2,2,2,1
非常不错，物美价廉，会再买,2,2,1,2,2,2,2,1
非常好吃，物美价廉，不错,2,2,1,2,2,2,2,1
买了吃着不错，就是太小了点,2,2,1,2,2,2,2,1
非常不错，物美价廉，好吃,2,2,1,2,2,2,2,1
不错，好吃，会再买的,2,2,1,2,2,2,2,1
至今未收货,2,2,2,2,2,2,2,0
多次回购，水果完好，果肉多汁，物美价廉，,2,2,2,2,2,2,2,1
收到了,2,2,2,2,2,2,2,1
今年的很小，味道不如去年,2,2,2,2,2,2,2,1
柚子可以，又好吃，分量又足。满意的一次购物，下次还会再来购买。,2,2,2,1,2,2,2,1
用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了,2,2,1,2,1,1,2,1
柚子看着很新鲜，去年种果树兑换的很好吃，今年买回来看着没有之前的红。,1,2,1,2,2,2,2,1
不较熟，水少,2,2,2,2,2,2,2,0
柚子过季了，整体不太新鲜也有苦味，明年再来吧,2,2,0,2,2,2,2,1
柚子不大，但挺好吃的。,0,2,2,2,2,2,2,1
上次吃这柚子还是前年，好可怜哦,2,2,2,2,2,2,2,1
蛮好吃的，就是皮太厚了,2,2,2,2,2,2,2,1
多次购买，品质比较稳定，酸甜度适中，水分足,1,2,2,2,2,2,2,1
一点都不甜一点都不甜一点都不甜没味道,2,2,2,2,2,2,2,0
我觉得非常好，物流特别快，客服人很好，水果个头也很大，果实很饱满。推荐大家购买！,2,2,2,2,2,1,2,1
两个红心柚子大小一样，已经吃了一个，非常甜，皮也不厚，分量也很足，卖家发货速度很快，快递员态度也很好送到家门口，非常满意,2,2,2,2,2,2,1,1
红心柚，一箱两个，个头不是特别大，但质量很好。收到时很新鲜，想着放一放再吃，应该会更好吃。随箱附着有说明，还有一个小零件，不知道是用来干什么的。柚子放了一阵后，有柚香味了，柚皮黄黄的、软软的，皮子也特别薄，很不错。,2,2,1,2,1,2,2,1
物流必须大大地赞，这速度杠杠的，从农场种的东西都很好吃，寄来一个箱子，里面的柚子还包了一层塑料袋，包装不错人性化，柚子完好无损，水分大微酸，清甜，一点点苦味，剥开色红，不错不错，满屋子柚子皮的香味，五分好评。,1,2,2,2,1,1,2,1
酸,2,2,2,2,2,2,2,0
包装完好无损，韵达物流很快，红心蜜柚很新鲜棒棒哒,2,2,1,2,1,2,2,1
东东农场得来的，真心不错哦，发货快，快递也给力，柚子很新鲜。满意～,1,2,2,2,2,1,2,1
物流很快，收到货后拿回家立马打开看了，两个柚子品相不错，还没有打开吃呢，果香味很足，期待,2,2,1,2,2,1,2,1
好失望，柚子皮非常厚又硬，个头又小，那些好评绝对是刷出来的,2,2,2,0,2,2,2,0
水份差点,2,2,2,2,2,2,2,0
很满意挺不错的,2,2,1,2,2,2,2,1
柚子挺新鲜的，皮薄肉厚汁多，挺好吃的,1,2,2,2,2,2,2,1
好好吃，很甜果子很好,2,2,2,2,2,2,2,1
为什么柚子是苦的。你的良心不痛吗？,0,2,2,2,2,2,2,0
到现在也没收到退款差评,2,2,2,2,2,2,2,1
柚子不错，红心的，很甜，个子很大。,1,2,2,2,2,2,2,1
有点酸,2,2,2,2,2,2,2,1
包装很有个性啊，纳爱斯meet柚，十分有意思。没有破损，也很快速。柚子的个头也很大，水分也很足，味道也不错，如果找缺点的话，就是芯不红啊。,2,1,2,1,1,2,2,1
这个柚子特别好水份大好吃,2,2,2,2,2,2,2,1
很好,2,2,2,2,2,2,2,1
宝贝不错，汁水多、又甜，很好吃！,2,2,1,2,2,2,2,1
宝贝不错，汁水足，又甜，很好吃！,2,2,1,2,2,2,2,1
东西是坏的，果肉非常干，生鲜不给退，商家很蛮横,0,2,2,2,2,2,0,0
这柚子真的太好了，还没有烂完，要是全部烂完就完美了，另外一个要是在小一点就好了，像鸡蛋一样，多好播这家的柚子我真是谢谢你，我也谢谢京东,1,2,1,2,2,2,2,0
有一个是烂的，另外一个是白心的，是酸的，差得很,2,2,2,2,2,2,2,0
买了他们家很多的游子，去年买了，今年也满了。一直喜欢吃肉。肉非常的嫩，水也非常的多。等我吃完了，我还会去他家买。感谢快递小哥，辛苦啦。,2,2,2,2,2,2,2,1
柚子包装很好，到货快，色泽诱人，甜甜酸酸的，特别好吃，很喜欢，已经买好几次了。,1,2,2,2,1,2,2,1
比较甜的柚子，红心的柚子，很好吃，下回还在这里买，一会儿就吃了一个大的柚子，还是大的好吃。,1,2,2,2,2,2,2,1
京东农场种的，非常新鲜的。外表金黄，皮薄肉大，果肉成紫红色，酸酸甜甜的口感正好。快递包装完好无损，速度也快。满星好评！,1,1,1,2,1,2,2,1
东东农村来的柚子。红心柚子，味道不错，发货快，物流也还给力，非常满意～,2,1,2,2,2,1,2,1
真心不错，皮薄汁多酸甜可口,2,2,1,2,2,2,2,1
不错，很好，非常新鲜的。外表金黄，皮薄肉大，果肉成紫红色，酸酸甜甜的口感正好。快递包装完好无损，速度也快。满星好评！,1,1,1,2,1,2,2,1
红心柚果肉非常诱人，一拿回来就迫不及待开了个，切开皮闻到浓浓的柚子香味，酸酸甜甜好吃，皮薄肉厚颜色非常好看，有点点酸头感觉挺好吃的，果肉颗粒清晰可见粒粒饱满感觉非常好，满手的果香都舍不得洗手了，太喜欢这种香味了果实饱满，最重要的还是很实惠吃完继续买。,1,2,2,2,2,2,2,1
柚子收到了，非常好吃，也非常满意。已经买了很多次了。水分非常多，粒粒肉饱满,1,2,2,2,2,2,2,1
红心柚子含有丰富的维生素c也含有丰富微量元素，是一款营养价值很高的一款水果，柚子收到就迫不及待切开吃了，皮薄肉多，很甜，不酸，好吃还不贵，比超市那种白心的还便宜，一吃就停不下来了！孩子也喜欢吃！一会的功夫俩孩子就吃完了！,1,2,1,2,2,2,2,1
产品包装合理，水果新鲜水质清甜，快递也快，食用还是很好味道。,2,1,1,2,1,2,2,1
一个月买次真的好吃新鲜的很,2,2,1,2,2,2,2,1
好评，三个都很大，还没吃，闻着很香柚子味。,2,2,2,2,2,2,2,1
说实话就是有点酸,2,2,2,2,2,2,2,1
之前是朋友在这一家店买的柚子。然后吃着很甜，也很好吃。这一次我自己下了，一单买了两个。刚开始打开的时候，外面有点儿那个坏的样子。给客服发了信息，客服给说是不是坏的，然后我自己打开了。那个里边儿一点儿事儿没有，应该外面是正常的现象。挺好吃的，也不也不会说太干，然后那个酸甜酸甜的。有时间的话，再回购几单。在买着吃。,1,2,2,2,2,2,1,1
买的发霉的柚子，不要买,1,2,2,2,2,2,2,1
买四个烂两个,2,2,2,2,2,2,2,0
质量不错我很喜欢，味道不错水多果甜，快递也很快,2,1,2,2,1,2,2,1
常买，全家人一起享用,2,2,2,2,2,2,2,1
柚子已经不好吃了，苦，有酒味,0,2,2,2,2,2,2,0
皮太厚，不是很好,2,2,2,2,2,2,2,1
回购,2,2,2,2,2,2,2,1
芯不红，感觉没熟透。有点失水。一般一般一般。,2,2,2,2,2,2,2,1
不错的一次购物体验，个大又好吃，还会再来买的。,2,2,2,2,2,2,1,1
货物收到了，包装简单，柚子三个不知如何，尝试后再说。,0,2,2,2,1,2,2,2
好吃不错价格不算实惠,2,2,1,2,2,2,2,1
不错，酸甜可口，会回购的，好吃,2,2,1,2,2,2,2,1
特别垃圾旗舰店，特别垃圾旗舰店，千万别买,2,2,2,2,2,2,2,0
商家人不错，少发一个，立马补赔了。吃起来味道很不错,2,1,2,2,2,2,2,1
京东商每天种水果送的！很甜，水份也相当足好评！多年来一直在京东上买东西，一直是忠实的顾客。京东上的第三方买家，有些差异，遇到差的第三方，只要找京东，基本都能解决。京东上时有的活动，价格又很实惠。何乐而不为呢？,2,2,1,2,2,2,2,1
红心柚收到，是京东农场种树收获的水果，一箱两个，个头不是特别大，但质量很好，很新鲜，外表金黄，切开皮浓浓的柚香，果肉红艳诱人，肉质紧实，果粒饱满多汁，味道清甜微酸，口感好。店家发货快，快递给力，包装完好无损。谢谢店家，谢谢京东，祝老板生意兴隆！,2,1,1,2,1,1,1,1
柚子特别好，从广西运到我们东北真的是不容易，我们现在都零下十多度了，我把它缓缓了三四个小时，然后才吃口感相当好,1,2,2,2,2,2,2,1
红心蜜柚酸甜可口！京东商城的这个种水果的活动搞得非常非常好，动动手指浇浇水，然后再花一分钱就能买到想吃的水果！这次的柚子是梅州柚！感觉超棒！大家快来买几个吃吃看吧！,2,2,2,2,2,2,2,1
蜜柚个大肉质厚，与图片上的蜜柚还好，物流不错发货超级快，取快递方便，服务质量优良给商家点！,2,2,2,2,1,1,2,1
