分词,评分,评论时间
买 两 确实 非常 好吃 吃 完 漱口 后 还 留有余味 非常 满意 水 很多 以外 几乎 没有 味道 偿 口 扔 老家 柚子 平时 柚子 吃 很多 买 柚子 好 不 好吃 碰 运气 最近 上饶 不便 去 亲自 去 柚,4,2021-11-07 08:59:13
太 难吃 皮厚 苦 干,2,2021-11-04 18:13:01
一如既往 好评 非常 不错,5,2021-05-13 14:18:27
好,5,2021-04-30 14:59:23
的确 大 柚子 果子 大 符合 商家 描述 皮 比较 厚 照片 看出 完好 果子 只 季节 原因 保存 时间 长 水分 挥发 口感 显得 干燥 买 柚子 国内 都 存在 保存期 长 水分 少 问题 建议 多多 改进,4,2021-04-24 18:21:06
非常 喜欢 很 好吃 下次 购买 一点 发 货物 流 非常 快,5,2021-04-24 08:14:25
真心 无 语 完全 不 吃 还要 放 卖 干 点 水 份 都 没有 还要 放 卖 真是 骗 算,1,2021-04-23 22:35:21
第一 次 买 很 好吃 果嫩 水,5,2021-04-03 09:57:20
快递 还 柚子 实在 太 差 不 留 寄 老大 个头 起来 屁 轻 屁 轻 打开 包装 妈 估计 柚子 太 爷爷 搬 外皮 厚 还 抽抽 大大 褶子 里面 果实 拳头 大 小 掰 开 大大 种子 大拇哥 指甲盖 大 住 楼房 院子 真 直接 上 直接 扔 太 糊弄 人,1,2021-03-27 11:17:52
水分 很 足皮 很 厚 好吃,5,2021-03-16 04:44:11
推荐 朋友 购买 特别 好吃,5,2021-03-12 08:06:42
物流 很快 天 依然 很 好吃,5,2021-03-12 08:04:22
柚子 老 苦,2,2021-03-08 19:01:53
吃 完 还 行 还 会 再 看看,5,2021-03-07 17:30:49
水分 很多 口感 不错 甜度 中等 不 酸 包装箱 不,5,2021-03-04 22:57:40
口感 特 备 好 水分 非常 剥 开 水 主流 吃 过瘾,5,2021-03-03 14:32:31
犹豫 半天 买 不 后悔 水分 特别 包装 不 送 人 选礼 盒装,5,2021-03-03 14:31:00
这种 货 发,1,2021-03-02 14:36:26
水分 柚 特点 次 买 没有 百果园 买 甜,3,2021-02-28 15:05:43
物流 速度 春节 期间 还 算 不错 一共 四 柚子 外表 看 起来 不怎么样 剥 开 之后 吃 一下 发现 水分 含量 非常 丰富 一点 都 不 酸味道 很 不错,5,2021-02-22 18:06:32
京东 好 货 好 品质 好 服务 好 物流 京东点 赞 京东点 赞 京东 快递 小 哥点 赞 京 东 客服 点 赞,5,2021-02-09 07:50:02
皮厚 瓤 小,3,2021-02-05 12:38:37
比较 酸皮 厚 水分 很 足,5,2021-02-04 12:17:46
没 想到 老家 好 东西 水分 足 特别 足,5,2021-01-31 19:34:37
月日中通 快递员 送 妈妈 驿站 没 电话 通知 没 发 提货码 直至 月 日 查 快 件 信息 才 发现 希望 商家 今后 不要 中通 快递 合作 尤其 包头 中通 简直 垃圾,1,2021-01-28 08:42:30
超市 买 不 味道 太 酸,5,2021-01-24 16:48:14
东西 挺 好 价格 偏 贵,5,2021-01-21 20:29:55
水果 很 好 建议 冬季 北方 订单 做 必要 保温 防冻 措施 现在 全 皮厚,5,2021-01-21 16:22:33
家乡 柚 真 不错 好吃 以后 还 会 光顾,5,2021-01-09 20:51:56
发货 快 包装 好 柚子 收到 完好无损 很 好吃 柚子 水分 足 稍微 点 酸甜度 够 好吃 好评,5,2021-01-07 19:23:58
柚子 味道,5,2021-01-05 01:42:05
不好 吃 去年 买 差远,4,2021-01-03 15:37:49
酸甜 口水 喜欢 糊 里面 子大 西瓜子 还 大,5,2021-01-03 09:56:22
幸亏 先 买 品尝 款 柚子 柚风 马牛不相及 了解柚 看 照片 知道 不知 窜 杂品 味道 平淡 还 有点 酸 真正 柚 甜香 完全 没有,1,2020-12-30 20:37:40
味道 还 不错 价格 很 合适 物美价廉,5,2020-12-30 19:23:57
水汽 有点 大 不 甜 还 都 籽 物流 有点 慢,3,2020-12-30 10:58:53
送 人 没有 看到 应该 好吃 物流 给力 很快 收到,5,2020-12-26 19:32:38
收到 箱 四 大 柚子 两 不 甜 两 味道 还 行 没有 想象 中 柚 好吃,5,2020-12-26 14:29:55
皮厚 肉少籽 还 大 都 不 知道 评价 里 情况,5,2020-12-24 12:35:48
不好 核 小 皮厚 肉咬 不 动,3,2020-12-24 08:15:25
说实话柚子 好吃 真 看 相 价格 高 性价比,5,2020-12-20 16:32:43
发货 快 包装 好 柚 收到 完好无损 很 好吃 柚 品种 好 新鲜汁 甜甜 稍微 带 一点点 酸 好评 吃 完 再,5,2020-12-19 23:14:02
不错,5,2020-12-18 16:52:11
发货 快 包装 好 柚 收到 完好无损 很 好吃 柚 新鲜 水分 足 蛮 甜 带 一点点 酸 好吃 好评 吃 完 再,5,2020-12-16 22:44:43
今年 柚子 不错 口感 很 好,5,2020-12-14 12:28:36
柚子皮 特别 厚 味道 不 传闻 好吃,2,2020-12-14 11:30:38
买 直接 发给 外地 亲戚家 尴尬 小虫,5,2020-12-13 20:00:00
京东 自营 产品 值得 信赖,5,2020-12-13 13:46:07
还 会 考虑 再 买,5,2020-12-12 17:00:10
收到 坏果 联系 店家 后 立马 补 寄 好 水果 难免 磕碰 损坏 商家 信誉 不错 柚子 本身 水分 不 知道 不 季节 不 很 甜,5,2020-12-12 14:52:11
没 传说 惊艳,5,2020-12-11 09:02:10
根本 不 柚口感 不 好 水份 不足,2,2020-12-10 22:34:27
感觉 还 不错 性价比 还 行 值得 试试,4,2020-12-10 07:47:36
外观 很 大 果掂 起来 不 很 重 外皮 看上去 粗糙 打开 后心 红心 外瓤 厚 水份 略 感 不足 甜度 还 好 总体 马马虎虎,5,2020-12-09 15:34:44
还 行,5,2020-12-07 07:45:52
还 水分 不,5,2020-12-07 07:45:37
东西 居然 大籽 不 以前 渠道 买,5,2020-12-06 14:14:12
第一 次 买 这家 包装盒 没 统一 物流 还 算 快 剥 开 尝 尝 不 甜,5,2020-12-06 12:13:24
柚 不 正宗柚 味道 不 好 水 份 还 干 关键 连肉 都 干 发白 根本 没法 吃 还 死贵 买 两 打开 直接 扔,5,2020-12-06 10:53:59
完全 名不符实 带 酸 不 甜 厚 皮 居然 瓤 都 干 不 新鲜,1,2020-12-05 21:43:47
收到 柚子 没有 介绍 好吃 口感 淡淡的 很 失望,5,2020-12-04 22:05:52
买 很多 品种 柚子 第一 次 买 籽 柚子 最 主要 皮 特别 厚酸 不 会 再 购买,1,2020-12-04 20:38:42
果 很 大 里面 肉 只 一半 点 干,5,2020-12-04 19:23:10
柚子 柚 品质 不 高 包装 简单 配送 还 蛮 快,5,2020-12-04 05:38:07
柚子 收到 表皮 光滑 剥 开 皮 薄 肉 果肉 饱满 好 剥果 肉 嫩嫩哒 好吃 很 新鲜 水分 足 没有 坏 个头 很 均匀 每个 都 好好 没有 磕碰 手里 看 新鲜 真的 好吃 汁水 甘甜 柚子 香味 很 浓 不 会 柚子 有点 苦味柚 子皮 里 囊 比较 厚 很 适合 清炒,5,2020-12-03 13:52:08
柚子 已 收 看上去 不错 两 斤 京豆 抵 现 价格 实惠 还 未 品尝 相信 品质 不错 京东 大 平台 进入 商家 正规 品尝 后 再 追评 需要 尝 鲜 朋友 下 单 商家 服务 热情 快递 送货上门 给予 点赞,5,2020-12-03 11:46:03
第一 次 网上 购买 柚子 听说 柚 好吃 试 试 感觉 没 好吃 皮厚 不 说 品种 水份 肯定 不 算 干感 可能 买 大 肉老 核 性价比 不 高,4,2020-12-02 19:38:20
酸 都 快 掉 牙 大家 千万 不要 买 不要 上当 完全 没有 丝 甜味 幸亏 买 东西 直接 扔,5,2020-12-02 14:26:00
每年 季节 必须 品尝 最 好吃 柚子,5,2020-11-30 16:37:29
极 差 体验 柚子 没有 吃 柚 吃 多次 次 个柚子 根本 不 柚,1,2020-11-29 15:59:48
元 买 这种 精品 晕 死 差评 差评 差评,5,2020-11-26 21:05:19
汁 超级 最 好吃 柚子 没有,5,2020-11-21 08:35:05
口感 偏酸 比较 新鲜,5,2020-11-17 13:40:25
完美 产品 很 惊艳 性价比 合适 希望 长久 双十一 宝贝 收到 太 惊喜 质量 非常 好 性价比 很 高 真是 出乎 意料,5,2020-11-16 17:59:34
水份 还 味道 很 淡,5,2020-11-16 06:38:40
不 知道 说 好 本来 相信 江西 广播 电台 直播 推荐 再 加上 助 农产品 贵 贵 一点 菜场 一半 价格 好吃 行 知道 收到 后 太 人 失望 柚子 水分 没 水分 都 不 甜 一点 都 不 甜 菜场 比差 远 江西 广播 电台 失望 以后 再 不 相信 这种 直播 带 货,1,2020-11-13 09:18:37
没有 水分,1,2020-11-06 15:02:04
东西 已经 收到 介绍 味道 没有 想象 中 好 尝尝 好 价格 普通 贵 三 倍 性价比 不 高,3,2020-10-31 22:42:17
柚子 太 次 一点 不好,5,2020-10-30 19:04:45
很 好吃 水分 足 每年 都 买,5,2020-10-21 07:56:01
不 两 箱 盒子 柚子皮 很 厚 肉 很 小 很 干 很 苦 去年 买 不 质量 很 差,5,2020-10-17 14:07:52
货 很 不好 瓤 很 小 水分 不,2,2020-10-11 13:28:10
第一 次 买 好吃 遗憾,5,2020-06-20 08:47:37
基本 不 吃 股子 坏 掉 味道 每天 外面 回家 进 门 一股子 坏 味儿 全都 扔掉 不 季节 水果 干嘛 还要 卖 太,1,2020-06-02 11:12:10
真的 不 知道 说 买 两 礼盒 装 没有 礼盒 破 箱子 装 三 无所谓 反正 吃 柚子 太 差 本来 头 不 大 皮 占 一半 剥皮 之前 柚子 剥皮 之后 剩 橘子 还 水,3,2020-05-21 08:14:24
里面 都 坏 估计 放 好 商家 要求 退 钱,5,2020-05-16 01:21:47
估计 不 吃 柚子 季节 不 好吃,5,2020-05-09 14:15:39
不 柚子 季节 很 好吃,5,2020-05-01 15:13:32
味道 很 好 口感 正宗,5,2020-04-27 20:11:36
比较 去 超市 买 小 不 知道 不 季节 不 够 快递 太 慢,5,2020-04-25 11:52:53
口感 还 不错,5,2020-04-15 18:13:16
次 柚子皮 特别 厚 不好 吃,5,2020-04-14 07:03:13
外包装 有点 瑕疵,5,2020-04-08 12:24:45
物美价廉 老人 喜欢,5,2020-04-04 17:06:01
皮厚籽 味道 难 吃 芋头 还 坏,1,2020-03-29 13:55:38
正宗 确确实实 江西 名牌 产品,5,2020-03-28 14:00:50
块 皮 发 黑 还 好,5,2020-03-25 18:38:04
只能 说 不 吃 柚子 季节 千万 不要 去 买 难 吃 点 苦 味道 怪 怪 很 不 新鲜 还 好 看 直播 便宜 买 商家,1,2020-03-24 12:06:25
非常 差 柚子 非常 酸 不 新鲜 个别 都 腐烂 臭 售 后 差,1,2020-03-22 22:35:19
非常 好 非常 好 特别 好吃,5,2020-03-22 18:00:11
超市 普通 品种 好吃 不 够 新鲜 不 够 正宗 有点 遗憾,5,2020-03-20 01:07:24
帮 同事 买 点 不错 好吃,5,2020-03-18 16:46:37
发霉 蒂 不 新鲜 口感 没有 实体店 买 好 肉质 没有 拉丝感 嚼劲 应该 放 久 价格 新鲜 卖 价 感觉 不 值得,3,2020-03-16 21:56:44
垃圾 都 烂,1,2020-03-14 19:20:43
东西 收到 后 已经 坏,1,2020-03-13 04:40:50
老太太 说 太 好吃 看 丑但 水灵灵 很 甜 吃 完 再 回购 谢谢 店家,5,2020-03-11 20:41:38
好吃 买 喜欢,5,2020-03-10 07:07:23
超级 好吃 买 喜欢,5,2020-03-10 07:06:23
超级 好吃 多次 买 喜欢,5,2020-03-10 07:05:41
柚 名气 很 大 京东 淘 很多 好 宝贝,5,2020-03-05 09:44:51
好吃,5,2020-03-04 07:56:45
无话可说 看 图,1,2020-03-02 18:31:18
皮太 厚 剥 开 里面 几乎 都 没有 坑大 发,1,2020-03-02 15:45:09
号 下 单号 终于 打开 箱子 发现 坏 疫情 期间 情有可原 尝 后 再 追评,5,2020-02-28 13:58:44
果 实在 太 小 很 酸,5,2020-02-24 22:04:26
四 打开 全 扔掉 不 知道 个人 口味 不同 不 难吃,5,2020-02-24 07:49:25
太 干 太 难 吃 里面 都 烂 宣传 不符,5,2020-02-20 22:09:06
次 买 非常 不好 皮 超厚 剥 出来 柚子 肉 一点点 还 酸 没有 上次 买 两 装 好 下次 不 敢 买,1,2020-02-20 21:55:16
挺 好,5,2020-02-20 15:44:57
水分 超足口感 超棒 吃 最 好吃 柚子 一定 分享 周围 亲戚 好 朋友 柚子 名不虚传 一下子 爱上 清凉 爽口 柚子最最 原始 味道 实在 太 赞 家里 吃 人 都 赞不绝口 好评 以后 还 会 回购,5,2020-02-19 11:43:54
疫情 当下 坚持 快速 配送 值得,5,2020-02-18 23:24:16
非常 好 肉 红 白 相间 水份 很 足 再 买,5,2020-02-18 12:50:51
非常 好 非常 喜欢 物流 快,5,2020-02-17 10:59:01
非常 不错 还 行 物美价廉,5,2023-09-30 17:51:08
不错 好吃 物美价廉,5,2023-09-29 16:48:03
非常 好吃 不错 物美价廉,5,2023-09-29 16:47:38
还 不错 物美价廉会 再 买,5,2023-09-23 22:39:01
不错 物美价廉会 再 买,5,2023-09-23 22:39:33
不错 非常 好吃 价格 再 优惠 点 更 好,5,2023-09-15 20:54:15
非常 好吃 不错 会 再 买,5,2023-09-01 18:49:22
非常 好 会 继续 买 不错,5,2023-08-29 19:41:36
非常 不错 物美价廉会 再 买,5,2023-10-12 21:10:20
非常 好吃 物美价廉 不错,5,2023-10-19 08:35:30
买 吃 不错 太 小 点,5,2023-10-30 23:01:21
非常 不错 物美价廉 好吃,5,2023-10-19 08:35:56
不错 好吃 会 再 买,5,2023-09-29 16:46:29
至今 未 收货,1,2023-01-17 16:18:32
多次 回购 水果 完好 果肉 汁 物美价廉,5,2023-01-05 07:10:43
收到,5,2022-11-15 14:06:19
今年 很 小 味道 不 去年,5,2022-11-13 16:48:26
柚子 好吃 分量 足 满意 次 购物 下次 还 会 再 购买,5,2022-11-11 17:13:57
觉得 很 不错 商品 质量 好 发货 挺 快 很 赞,5,2022-11-11 10:35:22
柚子 看 很 新鲜 去年 果树 兑换 很 好吃 今年 买 回来 看 没有 之前 红,5,2022-11-07 16:16:42
不 熟水 少,3,2022-11-01 20:42:12
柚子 过季 整体 不 太 新鲜 苦味 明年 再,5,2022-10-30 18:35:56
柚子 不 大 挺 好吃,5,2022-10-18 13:45:53
上次 吃 柚子 前年 好 可怜,4,2022-10-15 22:20:21
蛮 好吃 皮 太 厚,5,2022-10-14 10:18:42
多次 购买 品质 比较 稳定 酸甜度 适中 水分 足,5,2022-09-28 16:47:25
一点 都 不 甜 一点 都 不 甜 一点 都 不 甜 没 味道,1,2022-09-23 21:40:04
觉得 非常 好 物流 特别 快 客服 人 很 好 水果 头 很 大 果实 很 饱满 推荐 大家 购买,5,2020-10-16 19:15:32
两 红心柚 子 大小 已经 吃 非常 甜皮 不 厚 分量 很 足 卖家 发货 速度 很快 快递员 态度 很 好 送 家门口 非常 满意,5,2020-09-27 18:38:27
红心柚 箱 两 个头 不 特别 大 质量 很 好 收到 时 很 新鲜 想 放 放 再 吃 应该 会 更 好吃 随箱 附着 说明 小 零件 不 知道 干 柚子 放 一阵 后 柚香味 柚皮 黄黄 软软的 皮子 特别 薄 很 不错,5,2020-10-11 19:59:33
物流 必须 大大 赞 速度 杠杠的 农场 东西 都 很 好吃 寄 箱子 里面 柚子 还 包 层 塑料袋 包装 不错 人性化 柚子 完好无损 水分 大 微酸 清 甜 一点点 苦味 剥 开色 红 不错 不错 满 屋子 柚子皮 香味 五 分 好评,5,2020-10-26 15:46:51
酸,3,2021-04-03 09:16:11
包装 完好无损 韵达 物流 很快 红心蜜柚 很 新鲜 棒棒哒,5,2020-09-22 14:10:24
东东 农场 真心 不错 发货 快 快递 给力 柚子 很 新鲜 满意,5,2020-10-03 13:07:45
物流 很快 收到 货 后 回家 立马 打开 看 两 柚子品 相 不错 还 没有 打开 吃 果香味 很 足 期待,5,2021-02-03 18:25:24
好 失望 柚子皮 非常 厚 硬 个头 小 好评 绝对 刷 出来,1,2022-09-21 19:51:02
水 份 差点,3,2022-09-12 16:25:49
很 满意 挺 不错,5,2022-02-16 21:08:02
柚子 挺 新鲜 皮 薄 肉 厚汁 挺 好吃,5,2022-02-11 00:14:50
好好 吃 很 甜 果子 很 好,5,2022-01-26 00:59:06
柚子 苦 良心 不 痛,1,2022-01-20 20:51:35
现在 没 收到 退款 差评,5,2022-01-19 20:57:45
柚子 不错 红心 很 甜 个子 很 大,5,2022-01-13 09:17:22
有点 酸,5,2022-01-08 22:49:28
包装 很 个性 纳爱斯 meet 柚 十分 有意思 没有 破损 很 快速 柚子 个头 很 大 水分 很 足 味道 不错 找 缺点 话 芯 不 红,5,2022-01-08 11:09:47
柚子 特别 好 水份 大 好吃,5,2022-01-03 09:55:31
很 好,5,2021-12-29 11:19:03
宝贝 不错 汁 水 甜 很 好吃,5,2021-12-28 11:03:06
宝贝 不错 汁 水足 甜 很 好吃,5,2021-12-28 11:02:42
东西 坏 果肉 非常 干生 鲜 不 退 商家 很 蛮横,1,2021-12-28 08:12:43
柚子 真的 太 好 还 没有 烂 完 全部 烂 完 完美 小 一点 好 鸡蛋 好 播 这家 柚子 真是 谢谢 谢谢 京东,1,2021-12-27 00:04:59
烂 白心 酸 差 很,1,2021-12-26 20:25:57
买 家 很多 游子 去年 买 今年 满 喜欢 吃 肉肉 非常 嫩水 非常 吃 完 还 会 去 他家 买 感谢 快递 小哥 辛苦,5,2021-12-25 21:29:54
柚子 包装 很 好 货 快 色泽 诱人 甜甜 酸酸 特别 好吃 很 喜欢 已经 买 好几 次,5,2021-01-02 17:09:05
比较 甜 柚子 红心 柚子 很 好吃 下回 还 买 一会儿 吃 大 柚子 大 好吃,5,2021-01-01 19:25:09
京东 农场 非常 新鲜 外表 金黄 皮 薄肉 大果 肉 成 紫红色 酸酸甜甜 口感 正好 快递 包装 完好无损 速度 快 满 星 好评,5,2020-11-07 17:37:58
东东 农村 柚子 红心柚 子 味道 不错 发货 快 物流 还 给力 非常 满意,5,2020-11-05 15:45:29
真心 不错 皮 薄汁 酸 甜 可口,5,2020-10-19 15:23:31
不错 很 好 非常 新鲜 外表 金黄 皮 薄肉 大果 肉 成 紫红色 酸酸甜甜 口感 正好 快递 包装 完好无损 速度 快 满 星 好评,5,2020-10-18 12:25:33
红心柚 果肉 非常 诱人 回来 迫不及待 开 切开 皮闻 浓浓的 柚子 香味 酸酸甜甜 好吃 皮薄肉厚 颜色 非常 好看 点点 酸头 感觉 挺 好吃 果肉 颗粒 清晰 可见粒粒 饱满 感觉 非常 好 满手 果香 都 舍不得 洗手 太 喜欢 这种 香味 果实 饱满 最 重要 很 实惠 吃 完 继续 买,5,2020-10-18 11:52:34
柚子 收到 非常 好吃 非常 满意 已经 买 很多 次 水分 非常 多粒粒 肉 饱满,5,2020-10-11 19:58:59
红心柚 子 含有 丰富 维生素 c 含有 丰富 微量元素 款 营养 价值 很 高 款 水果 柚子 收到 迫不及待 切开 吃 皮薄 肉 很 甜 不 酸 好吃 还 不 贵 超市 那种 白心 还 便宜 吃 停 不 下来 孩子 喜欢 吃 一会 功夫 俩 孩子 吃 完,5,2020-09-26 19:23:14
产品 包装 合理 水果 新鲜 水质 清 甜 快递 快 食用 很 好 味道,5,2020-12-17 11:22:01
月 买 次 真的 好吃 新鲜 很,5,2021-12-16 18:10:49
好评 三 都 很 大 还 没 吃 闻 很 香柚 子味,5,2021-12-16 17:42:52
说实话 点 酸,5,2021-12-13 10:40:03
之前 朋友 家 店 买 柚子 吃 很 甜 很 好吃 次 下 单 买 两 刚 打开 外面 点儿 坏 样子 客服 发 信息 客服 说是 不 坏 打开 里边儿 一点儿 事儿 没有 应该 外面 正常 现象 挺 好吃 不 不 会 说 太 干 酸甜酸 甜 时间 话 再 回购 单 买 吃,5,2021-12-12 14:21:51
买 发霉 柚子 不要 买,5,2021-12-12 07:30:00
买 四 烂 两,1,2021-12-11 22:29:08
质量 不错 很 喜欢 味道 不错 水 果 甜 快递 很 快,5,2021-12-11 19:31:43
常 买 全家人 一起 享用,5,2021-12-11 16:50:12
柚子 已经 不好 吃 苦 酒味,1,2021-12-11 10:55:25
皮太厚 不 很 好,5,2021-12-11 00:02:30
回购,5,2021-12-09 11:02:36
芯 不 红 感觉 没 熟 透 点 失水,4,2021-12-07 21:03:41
不错 次 购物 体验 大 好吃 还 会 再 买,5,2021-12-07 19:38:42
货物 收到 包装 简单 柚子 三 不知 尝试 后,4,2021-12-07 18:25:19
好吃 不错 价格 不 算 实惠,5,2021-12-04 17:03:17
不错 酸甜 可口 会 回购 好吃,5,2021-12-03 18:52:32
特别 垃圾 旗舰店 特别 垃圾 旗舰店 千万 别 买,1,2021-12-03 18:47:46
商家 人 不错 少 发 立马 补 赔 吃 起来 味道 很 不错,5,2021-12-02 14:39:53
京东商 每天 水果 送 很 甜 水份 相当 足 好评 年 京东 上 买 东西 忠实 顾客 京东 上 第三 方 买家 差异 遇到 差 第三方 找 京东 基本 都 解决 京东 上 时 活动 价格 很 实惠 何乐而不为,5,2020-11-25 20:21:47
红心柚 收到 京东 农场 树 收获 水果 箱 两 个头 不 特别 大 质量 很 好 很 新鲜 外表 金黄切 开皮 浓浓的 柚香果 肉 红艳 诱人 肉质 紧 实 果粒 饱满 汁 味道 清 甜 微酸 口感 好 店家 发货 快 快递 给力 包装 完好无损 谢谢 店家 谢谢 京东 祝 老板 生意 兴隆,5,2020-11-24 14:40:26
