评论编号,评论,评分,用户名,用户地址,评论时间
18492452599,皮超厚超厚......,5,h***g,,2022-12-07 20:37:04
18492258794,确实好吃，会复购，会推荐给朋友,5,H***U,,2022-12-07 20:02:44
18424488803,感觉不正宗。1个奖励40块了，感觉很不值，微酸皮又厚，跟我吃过的正宗**柚差很多,1,j***8,,2022-11-21 19:34:00
18423099149,很酸，没有办法入口，这不是正宗的上饶**柚,1,婧***滴,,2022-11-21 14:41:22
18417422540,确实不错。很好吃挺甜的水挺多的,5,j***z,,2022-11-20 10:53:54
18403071559,**柚子水份足，很好吃，就是皮有点厚，肉有点小,5,华***7,,2022-11-17 10:41:22
18395050514,口感酸，皮厚，买的礼盒装也没有发礼盒，就一个普通纸箱装一块寄给我。退货也不行，算了，下次不再上当受骗了,5,j***7,,2022-11-15 19:53:54
18395039863,酸，皮厚，还不给退,3,j***7,,2022-11-15 19:52:16
18382086699,好吃，就是皮厚肉少,4,华***7,,2022-11-13 17:51:13
18297112215,这这这五斤柚子三斤皮，那么大个柚子剥出来那么小，我真的会谢,5,莫***7,,2022-10-29 01:06:44
17317738478,真的是好吃的柚子，水分多,5,f***5,,2022-03-31 23:15:04
17241839157,好评,5,凯***沐,,2022-03-12 13:09:43
17241828776,好评,5,凯***沐,,2022-03-12 13:09:43
17017985780,没有朋友送的甜，汁水还是多，甜度一般,3,j***t,,2022-01-20 08:57:27
16998507408,太失望了，第一次买了两个还可以不酸水分也多，第二次买了四个！！！白乎乎没水分也算了，还酸得很，吃不来酸的人真的一百多块钱打水漂了,1,j***a,,2022-01-16 13:46:56
16973857162,买的最大果，没有水分，不甜。以前买的都是水汪汪的，甜甜的。浪费了。,1,小***2,,2022-01-11 10:52:56
16968554383,该用户觉得商品不错,5,j***Y,,2022-01-10 08:41:17
16959111514,不好吃，,5,j***9,,2022-01-08 12:25:11
16914236018,柚子不新鲜收到是烂了，店家以后还是做到要卖新鲜的水果,1,j***u,,2021-12-31 10:38:55
16885342902,无籽，口感干涩，和正宗的**柚一点都不相符，再也不会买了。差评差评差评！,1,y***i,,2021-12-27 12:28:57
16863643917,不酸不甜，根本不是正宗的**柚,5,j***a,,2021-12-23 20:56:44
16825341244,好像摘下来了很久了,3,威***龙,,2021-12-16 17:53:01
16796897895,味道有点苦，是假冒的，@,5,j***j,,2021-12-11 11:15:39
16778168586,外观不太好看，有很多黑点。不知道是否正常。,5,j***j,,2021-12-06 22:14:37
16740446918,本来以为在京东买的广丰柚子是正宗的.吃了之后又是假的.没一点诚信,1,j***U,,2021-11-29 12:32:45
16732972540,东西蛮不错。值得再次,5,砰***-,,2021-11-27 20:15:47
16732981339,物有所值。非常不错了,5,砰***-,,2021-11-27 20:14:30
16726424044,好！！！,5,j***c,,2021-11-26 17:10:13
16721454207,绝了  客服也很棒,1,j***v,,2021-11-25 18:32:47
16697404429,柚子外皮跟宣传的产品不一样，看着有一点干瘪，买像不是很好，开始心里一惊，认为产品质量肯定不行。切开后家里人吃了以后都觉得还不错，口感不错，很甜。,5,j***f,,2021-11-21 15:45:36
16679815050,最失望的一次购物，内部芯已经腐烂，味道酸涩,5,j***k,,2021-11-18 15:21:47
16590419269,买了两个，其中一个确实非常好吃，吃完了漱口后，还留有余味，非常满意。但是另外一个是除了水还是很多以外，几乎没有任何味道，我偿了几口扔了。老家也种柚子，平时柚子也吃得很多。买的柚子好不好吃就是碰运气的。最近上饶不便去，不然还是要亲自去**柚。,4,x***a,,2021-11-07 08:59:13
16575150705,太难吃了，皮厚又苦又干,2,j***d,,2021-11-04 18:13:01
15667535715,一如既往的好评，非常不错,5,f***s,,2021-05-13 14:18:27
15619162479,好,5,j***0,,2021-04-30 14:59:23
15597235679,的确是大的柚子，果子大，符合商家描述。皮比较厚，从照片也可以看出，是一个完好的果子，只是季节原因保存时间长了水分挥发多，口感显得干燥，我一直在买柚子，国内的都存在保存期长水分少的问题，建议多多改进。,4,W***8,,2021-04-24 18:21:06
15595071053,非常的喜欢，很好吃，下次多购买一点，发货物流也非常快,5,j***F,,2021-04-24 08:14:25
15594431516,真心无语、完全不能吃了还要放着卖？干的一点水份都没有还要放卖、真是能骗一个算一个吗？,1,j***9,,2021-04-23 22:35:21
15581525046,此用户未填写评价内容,5,菜***5,,2021-04-20 15:26:52
15493776152,第一次买很好吃，果嫩，水多,5,陈***z,,2021-04-03 09:57:20
15467113640,快递到是还可以，可柚子实在是太差了，是不是把要留种的寄给我了，老大的个头呀，拿起来屁轻屁轻的，打开包装，妈呀，估计是把柚子太爷爷搬来了，外皮厚的呀还抽抽的大大的褶子，里面果实拳头大小了，不光这样，掰开那大大的种子，大拇哥指甲盖大，我也就是住楼房，我要是有院子，真的直接种上了，直接扔了，太糊弄人了也,1,j***2,,2021-03-27 11:17:52
15425248170,水分很足，皮很厚，好吃,5,j***9,,2021-03-16 04:44:11
15410584095,推荐朋友购买，特别好吃,5,家***宝,,2021-03-12 08:06:42
15410562662,物流很快，第二天到，依然很好吃,5,家***宝,,2021-03-12 08:04:22
15396860034,柚子又老又苦,2,u***s,,2021-03-08 19:01:53
15392495231,吃完 还行 还会再看看,5,m***6,,2021-03-07 17:30:49
15381835987,水分很多。口感还是不错的。甜度中等。不酸。就是包装箱不咋地,5,j***猫,,2021-03-04 22:57:40
15375669176,口感特备好，水分非常多。剥开的时候水主流。吃着过瘾,5,j***猫,,2021-03-03 14:32:31
15375655559,"犹豫了半天还是买了。不后悔水分特别多。
就是包装不咋地，送人还是选礼盒装的",5,j***猫,,2021-03-03 14:31:00
15370293991,#？这种货也发？！,1,j***2,,2021-03-02 14:36:26
15362682425,水分多是**柚的特点，但这次买的没有百果园买的甜。,3,j***g,,2021-02-28 15:05:43
15340803044,物流速度在春节期间还算不错，一共四个柚子，外表看起来不怎么样，但是剥开之后吃了一下，发现水分含量非常丰富，一点都不酸，味道很不错👍,5,1***8,,2021-02-22 18:06:32
15308697996,京东好货好品质好服务好物流，为京东点赞为京东点赞为京东快递小哥点赞为京东客服点赞！,5,f***5,,2021-02-09 07:50:02
15294744627,皮厚瓤小,3,u***2,,2021-02-05 12:38:37
15290524689,比较酸，皮厚，水分很足,5,x***7,,2021-02-04 12:17:46
15275011198,没想到老家还有这样的好东西，水分足，特别足,5,u***o,,2021-01-31 19:34:37
15259473053,1月22日中通快递员送到了妈妈驿站，但既没电话通知也没发提货码，直至1月27日自己查快件信息才发现，希望商家今后不要和中通快递合作，尤其是包头中通，简直垃圾,1,j***w,,2021-01-28 08:42:30
15257206540,此用户未填写评价内容,5,V***8,,2021-01-27 17:19:08
15242968300,跟超市买的不一样味道太酸了,5,j***9,,2021-01-24 16:48:14
15231187145,东西挺好的，就是价格偏贵,5,j***i,,2021-01-21 20:29:55
15230097061,水果很好。建议冬季北方订单做必要的保温防冻措施，现在全靠皮厚,5,j***7,,2021-01-21 16:22:33
15174446447,家乡的**柚真不错，好吃。以后还会光顾的。,5,金***子,,2021-01-09 20:51:56
15164097521,发货快，包装得好，柚子收到完好无损。很好吃的柚子，水分足，稍微有点酸，甜度也够。好吃和好评！,5,k***康,,2021-01-07 19:23:58
15146190368,好,5,j***b,,2021-01-06 08:31:53
15136111618,有柚子的味道,5,归***月,,2021-01-05 01:42:05
15129701975,不好吃，比去年买的差远了,4,j***x,,2021-01-03 15:37:49
15128240987,酸甜可口水多，我喜欢糊，就是里面的子大有的比西瓜子还大,5,j***G,,2021-01-03 09:56:22
15115713539,幸亏先买了一个品尝款，这个柚子和**柚风马牛不相及，了解**柚的看照片就知道。不知是什么窜种的杂品，味道平淡还有点酸，真正**柚的甜香完全没有啊,1,j***9,,2020-12-30 20:37:40
15115410940,味道还不错，价格也很合适，物美价廉！！！！！！,5,s***1,,2020-12-30 19:23:57
15113492223,水汽有点大，不甜，还都有籽了，物流有点慢,3,1***m,,2020-12-30 10:58:53
15111398823,此用户未填写评价内容,5,j***C,,2020-12-29 18:47:39
15099314134,送人的，没有看到，应该好吃吧，物流给力很快就收到了！,5,无***限,,2020-12-26 19:32:38
15098082423,收到一箱有四个大柚子。两个不甜，两个味道还行。没有想象中的**柚那么好吃。,5,j***2,,2020-12-26 14:29:55
15089548389,皮厚肉少，籽还大我都不知道评价里的是什么情况,5,u***w,,2020-12-24 12:35:48
15088472081,不好，核小皮厚，肉咬不动,3,满***瑚,,2020-12-24 08:15:25
15072894756,说实话柚子好吃是真，看相一般，价格高了的。性价比一般,5,c***i,,2020-12-20 16:32:43
15070348918,发货快，包装得好，**柚收到完好无损。很好吃的**柚，品种好，新鲜，汁多，甜甜的稍微带一点点酸。好评和吃完再来！,5,k***康,,2020-12-19 23:14:02
15064473130,不错,5,l***2,,2020-12-18 16:52:11
15056928694,发货快，包装得好，**柚收到完好无损。很好吃的**柚，新鲜，水分足 ，也蛮甜的，带一点点酸，好吃和好评，吃完再来。,5,h***乐,,2020-12-16 22:44:43
15043952891,今年的柚子不错，口感很好,5,j***6,,2020-12-14 12:28:36
15043662221,柚子皮特别厚，而且味道不如传闻的好吃,2,j***F,,2020-12-14 11:30:38
15041116878,买了直接发给外地亲戚家的，尴尬的是其中一个有小虫。。。,5,j***z,,2020-12-13 20:00:00
15039135661,京东自营产品，值得信赖。。,5,周***里,,2020-12-13 13:46:07
15039136042,京东自营产品，值得信赖。。,5,周***里,,2020-12-13 13:45:48
15034978730,还可以 会考虑再买的,5,p***7,,2020-12-12 17:00:10
15034350960,收到了一个坏果，联系店家后立马补寄了一个好的。水果难免有磕碰损坏，商家信誉不错～ 柚子本身水分较多，但不知道是不是过了季节，不是很甜。,5,s***瑜,,2020-12-12 14:52:11
15028085902,没传说的那么惊艳,5,j***f,,2020-12-11 09:02:10
15027201728,根本就不是**柚，口感不好，水份也不足,2,j***啡,,2020-12-10 22:34:27
15023380960,感觉还不错，性价比还行。值得试试,4,d***9,,2020-12-10 07:47:36
15020902595,不错,5,j***2,,2020-12-09 15:51:01
15020837581,外观很大果 ，掂起来不是很重 ，外皮看上去较粗糙 ，打开后心是红心 ，外瓤较厚 ，水份略感不足 ， 甜度还好 。总体马马虎虎 。,5,无***棋,,2020-12-09 15:34:44
15009867039,还行,5,老***9,,2020-12-07 07:45:52
15009867068,还可以吧，就是水分不多,5,老***9,,2020-12-07 07:45:37
15007119285,东西居然是大籽的，不和以前其他渠道买的一样。,5,宝***好,,2020-12-06 14:14:12
15006638954,第一次买这家的，包装盒没个统一的物流还算快，剥开一个尝了尝不甜。。。,5,没***d,,2020-12-06 12:13:24
15006291978,这个**柚不是正宗**柚 味道不好 水份还干关键连肉都干的发白了 根本没法吃 还死贵 买了两个打开直接扔了,5,j***7,,2020-12-06 10:53:59
15004874293,完全名不符实，带酸不甜，这么厚的皮居然瓤都能干了，是有多不新鲜啊！,1,j***f,,2020-12-05 21:43:47
15000913816,收到了柚子没有介绍的好吃，口感淡淡的，很失望,5,w***露,,2020-12-04 22:05:52
15000547470,买过很多品种的柚子，第一次买到是有籽的柚子，最主要皮特别厚，酸得来，不会再购买了,1,j***r,,2020-12-04 20:38:42
15000247080,果很大，但里面肉只有一半，有点干,5,l***g,,2020-12-04 19:23:10
14997374718,柚子是**柚，品质不高，包装简单配送也还蛮快。,5,j***3,,2020-12-04 05:38:07
14994723049,柚子收到啦表皮光滑，剥开皮薄肉多果肉也饱满好剥，果肉嫩嫩哒好吃，很新鲜而且水分足。没有坏的了，个头很均匀每个都是好好的，没有磕碰，拿着手里看着新鲜是真的好吃，汁水甘甜，柚子的香味很浓。不会像其它的柚子一样有点苦味，柚子皮里的囊比较厚，很适合清炒。,5,u***l,,2020-12-03 13:52:08
14994720144,柚子收到啦表皮光滑，剥开皮薄肉多果肉也饱满好剥，果肉嫩嫩哒好吃，很新鲜而且水分足。没有坏的了，个头很均匀每个都是好好的，没有磕碰，拿着手里看着新鲜是真的好吃，汁水甘甜，柚子的香味很浓。不会像其它的柚子一样有点苦味，柚子皮里的囊比较厚，很适合清炒。,5,u***l,,2020-12-03 13:51:50
14994189430,**柚子已收，看上去不错，两个6斤多，用京豆抵现，价格实惠，还未品尝，相信品质不错京东大平台，进入商家正规，待品尝后再追评。需要尝鲜的朋友可以下单。商家服务热情，快递送货上门。给予点赞。,5,j***j,,2020-12-03 11:46:03
14991874452,第一次网上购买柚子，听说**柚好吃，试了试，感觉没那么好吃，皮厚不说，就是这品种，但水份肯定不算多，有干感，可能买大了，肉老核多，性价比不高。,4,l***8,,2020-12-02 19:38:20
14990502900,酸的都快掉牙了，大家千万不要买，不要上当了，完全没有一丝甜味。幸亏我就买了一个，东西直接扔了。,5,X***l,,2020-12-02 14:26:00
14982133650,每年这个季节必须品尝的最好吃的柚子,5,j***f,,2020-11-30 16:37:29
14977563743,极差的体验。4个柚子，没有一个能吃的。**柚我吃过多次，这次的4个柚子根本不是**柚。,1,j***a,,2020-11-29 15:59:48
14966289678,179元就买这种精品，晕死我了。差评差评差评,5,j***f,,2020-11-26 21:05:19
14939553778,汁超级多，最好吃的柚子，没有之一，哈哈,5,y***9,,2020-11-21 08:35:05
14919760175,口感偏酸，比较新鲜。,5,j***T,,2020-11-17 13:40:25
14914941374,完美，产品很惊艳，性价比合适，希望用的长久！双十一的宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,5,j***八,,2020-11-16 17:59:34
14910837359,水份还可以，味道就一般，很淡,5,j***f,,2020-11-16 06:38:40
14891991400,不知道说啥好，本来是相信江西广播电台的直播推荐的，再加上又是助农产品，贵就贵一点（菜场是这一半的价格）好吃就行，谁知道收到后太让人失望，2个柚子一个有水分，一个没水分。而且都不甜，一点都不甜。跟菜场比差远了，江西广播电台也让我失望，以后再也不相信这种什么直播带货了,1,Y***L,,2020-11-13 09:18:37
14852378385,没有水分了,1,j***4,,2020-11-06 15:02:04
14821805067,东西已经收到了，和介绍一样，但是味道没有想象中的好，尝尝就好了，价格比普通的贵三倍多，性价比不高。,3,j***S,,2020-10-31 22:42:17
14817248444,柚子太次了一点也不好,5,j***y,,2020-10-30 19:04:45
14778198421,很好吃，水分足，每年都买。,5,真***名,,2020-10-21 07:56:01
14763580840,不是两箱吗？一个盒子**柚子，皮很厚，肉很小，很干，很苦，和我们去年买的不一样，质量很差,5,j***F,,2020-10-17 14:07:52
14740504522,货很不好，瓤很小，水分也不多。,2,j***r,,2020-10-11 13:28:10
14313011175,不如第一次买的好吃了，遗憾。,5,巴***爸,,2020-06-20 08:47:37
14225795217,基本不能吃，一股子坏掉的味道，每天从外面回家，进门一股子坏味儿，全都扔掉了，既然不是这个季节的水果，干嘛还要卖！太@了！,1,歆***水,,2020-06-02 11:12:10
14177395402,这个真的是不知道该说什么了，买的两个礼盒装，没有礼盒，用破箱子装的，但是给了三个，这就无所谓了，反正自己吃，但是这柚子也太差了吧，本来个头就不大，皮占了一半，剥皮之前是柚子，剥皮之后就剩个橘子了。。。其中一个还跟水似的,3,金***人,,2020-05-21 08:14:24
14157124197,里面都是坏的，估计放了好多了，**商家要求退钱,5,李***2,,2020-05-16 01:21:47
14131212064,估计不是吃柚子的季节，不好吃,5,y***3,,2020-05-09 14:15:39
14099918173,不是柚子的季节，但是很好吃,5,j***m,,2020-05-01 15:13:32
14086049245,味道很好，口感正宗，,5,l***0,,2020-04-27 20:11:36
14076176285,比较一般，去超市买的小，不知道是不是季节不够，快递太慢了,5,果***鑫,,2020-04-25 11:52:53
14037902895,口感还不错,5,章***红,,2020-04-15 18:13:16
14031601852,这次的柚子皮特别厚，不好吃！,5,j***3,,2020-04-14 07:03:13
14009663559,外包装有点瑕疵啊,5,u***v,,2020-04-08 12:24:45
13994976581,物美价廉，老人喜欢。,5,l***0,,2020-04-04 17:06:01
13971248982,皮厚籽多，味道难吃！芋头还有坏的！,1,u***m,,2020-03-29 13:55:38
13967565998,正宗，确确实实的江西名牌产品！,5,j***2,,2020-03-28 14:00:50
13957485468,有一块皮发黑了，其他还好,5,x***n,,2020-03-25 18:38:04
13952113267,只能说不是吃柚子的季节，千万不要去买。难吃，有点苦，味道怪怪的，很不新鲜。还好是看直播便宜买的，不然被商家@。,1,泳***珠,,2020-03-24 12:06:25
13946811725,非常差的柚子，非常酸，不新鲜，有个别都腐烂臭了，售后也差,1,歪***气,,2020-03-22 22:35:19
13945781262,非常好，非常好。特别好吃。,5,j***w,,2020-03-22 18:00:11
13935737591,比超市的普通品种好吃，但不够新鲜，也不够正宗，有点遗憾！,5,j***9,,2020-03-20 01:07:24
13930382067,帮同事买点的，不错👍，也好吃,5,j***f,,2020-03-18 16:46:37
13923848394,发霉了，蒂不新鲜，口感也没有实体店买的好，肉质也没有拉丝感和嚼劲，应该是放久了，价格跟新鲜的卖一个价感觉有些不值得。,3,j***o,,2020-03-16 21:56:44
13915309180,垃圾都烂了,1,j***8,,2020-03-14 19:20:43
13908561622,东西收到后已经坏了！,1,j***o,,2020-03-13 04:40:50
13903726354,老太太说太好吃了，看着丑，但水灵灵的很甜，吃完再回购，谢谢店家！,5,y***8,,2020-03-11 20:41:38
13896204719,好吃，一直买它，喜欢,5,j***s,,2020-03-10 07:07:23
13896203127,超级好吃，一直买它，喜欢,5,j***s,,2020-03-10 07:06:23
13896202638,超级好吃，多次买它，喜欢,5,j***s,,2020-03-10 07:05:41
13874780121,**柚名气很大，京东能淘到很多好宝贝,5,S***Y,,2020-03-05 09:44:51
13870313589,好吃的,5,梁***5,,2020-03-04 07:56:45
13864493653,无话可说，看图吧！,1,r***1,,2020-03-02 18:31:18
13863769197,皮太厚了，剥开里面几乎啥都没有，坑大发了,1,p***2,,2020-03-02 15:45:09
13850825052,16号下单，27号终于到了，打开箱子就发现坏了一个，疫情期间这也情有可原吧，尝过后再追评。,5,j***9,,2020-02-28 13:58:44
13836908638,果实在太小，很酸,5,j***1,,2020-02-24 22:04:26
13833556168,四个打开 全扔掉了  不知道是个人口味不同还是怎么了 不是一般的难吃,5,R***4,,2020-02-24 07:49:25
13821775105,太干了。太难吃了。里面都烂了。与宣传不符,5,j***o,,2020-02-20 22:09:06
13821732954,这次买的非常不好，皮超厚，剥出来柚子肉一点点，还酸，没有上次买的两个装的好，下次不敢买了,1,u***e,,2020-02-20 21:55:16
13820392854,挺好的,5,j***u,,2020-02-20 15:44:57
13815987622,水分超足，口感超棒，是我吃过的最好吃的柚子，一定分享给周围的亲戚和好朋友，**柚子，果然名不虚传，一下子就爱上了，清凉爽口，是柚子最最原始的味道，实在太赞，家里吃过的人都赞不绝口，好评！以后还会回购的,5,j***9,,2020-02-19 11:43:54
13815006824,在疫情当下能坚持快速配送值得👍,5,j***l,,2020-02-18 23:24:16
13812862914,非常好，肉是红白相间，水份很足，再买！,5,j***1,,2020-02-18 12:50:51
13809197184,非常好，非常喜欢，物流也快。,5,l***g,,2020-02-17 10:59:01
19876096883,非常不错，还行，物美价廉,5,飞***斌,广东,2023-09-30 17:51:08
19866496466,不错，好吃，物美价廉,5,飞***斌,广东,2023-09-29 16:48:03
19866493290,非常好吃，不错，物美价廉,5,飞***斌,广东,2023-09-29 16:47:38
19810231764,还不错，物美价廉，会再买,5,飞***斌,广东,2023-09-23 22:39:01
19810225801,不错，物美价廉，会再买,5,飞***斌,广东,2023-09-23 22:39:33
19705180067,不错，非常好吃，价格再优惠点就更好了,5,飞***斌,广东,2023-09-15 20:54:15
19608427836,非常好吃，不错会再买,5,飞***斌,广东,2023-09-01 18:49:22
19594477250,非常好，会继续买的，不错,5,飞***斌,广东,2023-08-29 19:41:36
19962611339,非常不错，物美价廉，会再买,5,飞***斌,广东,2023-10-12 21:10:20
19982003527,非常好吃，物美价廉，不错,5,飞***斌,广东,2023-10-19 08:35:30
20062945169,买了吃着不错，就是太小了点,5,j***1,广东,2023-10-30 23:01:21
19982003533,非常不错，物美价廉，好吃,5,飞***斌,广东,2023-10-19 08:35:56
19866487703,不错，好吃，会再买的,5,飞***斌,广东,2023-09-29 16:46:29
18704779211,至今未收货,1,j***e,,2023-01-17 16:18:32
18653647609,多次回购，水果完好，果肉多汁，物美价廉，,5,静***6,,2023-01-05 07:10:43
18393025318,收到了,5,j***F,,2022-11-15 14:06:19
18381667060,今年的很小，味道不如去年,5,c***7,,2022-11-13 16:48:26
18369297209,收到了,5,k***5,,2022-11-11 18:26:48
18368873565,柚子可以，又好吃，分量又足。满意的一次购物，下次还会再来购买。,5,u***2,,2022-11-11 17:13:57
18366482626,用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了,5,K***r,,2022-11-11 10:35:22
18346523292,柚子看着很新鲜，去年种果树兑换的很好吃，今年买回来看着没有之前的红。,5,j***g,,2022-11-07 16:16:42
18314590962,不较熟，水少,3,a***5,,2022-11-01 20:42:12
18303946249,柚子过季了，整体不太新鲜也有苦味，明年再来吧,5,j***7,,2022-10-30 18:35:56
18261788882,柚子过季了，整体不太新鲜也有苦味，明年再来吧,5,j***7,,2022-10-22 20:31:23
18231192569,柚子不大，但挺好吃的。,5,j***e,,2022-10-18 13:45:53
18217144764,上次吃这柚子还是前年，好可怜哦,4,欲***主,,2022-10-15 22:20:21
18208535604,蛮好吃的，就是皮太厚了,5,1***l,,2022-10-14 10:18:42
18168121532,该用户觉得商品不错,5,j***3,,2022-10-05 16:36:10
18133123132,多次购买，品质比较稳定，酸甜度适中，水分足,5,苏***2,,2022-09-28 16:47:25
18108058178,一点都不甜一点都不甜一点都不甜没味道,1,j***n,,2022-09-23 21:40:04
19982003533,非常不错，物美价廉，好吃,5,飞***斌,广东,2023-10-19 08:35:56
19866487703,不错，好吃，会再买的,5,飞***斌,广东,2023-09-29 16:46:29
14760958668,我觉得非常好，物流特别快，客服人很好，水果个头也很大，果实很饱满。推荐大家购买！,5,镶***军,,2020-10-16 19:15:32
14691262725,两个红心柚子大小一样，已经吃了一个，非常甜，皮也不厚，分量也很足，卖家发货速度很快，快递员态度也很好送到家门口，非常满意,5,陈***5,,2020-09-27 18:38:27
14741964437,红心柚，一箱两个，个头不是特别大，但质量很好。收到时很新鲜，想着放一放再吃，应该会更好吃。随箱附着有说明，还有一个小零件，不知道是用来干什么的。柚子放了一阵后，有柚香味了，柚皮黄黄的、软软的，皮子也特别薄，很不错。,5,石***天,,2020-10-11 19:59:33
14800241285,物流必须大大地赞，这速度杠杠的，从农场种的东西都很好吃，寄来一个箱子，里面的柚子还包了一层塑料袋，包装不错人性化，柚子完好无损，水分大微酸，清甜，一点点苦味，剥开色红，不错不错，满屋子柚子皮的香味，五分好评。,5,桃***醉,,2020-10-26 15:46:51
15493641221,酸,3,j***h,,2021-04-03 09:16:11
14671145563,包装完好无损，韵达物流很快，红心蜜柚很新鲜棒棒哒👍,5,j***W,,2020-09-22 14:10:24
14711202539,东东农场得来的，真心不错哦，发货快，快递也给力，柚子很新鲜。满意～,5,可***脸,,2020-10-03 13:07:45
15287890668,物流很快，收到货后拿回家立马打开看了，两个柚子品相不错，还没有打开吃呢，果香味很足，期待,5,赵***1,,2021-02-03 18:25:24
18096943267,好失望，柚子皮非常厚又硬，个头又小，那些好评绝对是刷出来的,1,明***y,,2022-09-21 19:51:02
18082058368,该用户觉得商品不错,5,j***3,,2022-09-18 23:08:16
18052402292,水份差点,3,H***x,,2022-09-12 16:25:49
