评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
口感 酸 ， 皮厚 ， 买 的 礼盒装 也 没有 发礼盒 ， 就 一个 普通 纸箱 装 一 块 寄 给 我 。 退货 也 不行 ， 算 了 ， 下次 不再 上当 受骗 了,0,0,2,2,0,2,2,2
酸 ， 皮厚 ， 还 不 给 退,2,0,2,2,0,2,0,0
好吃 ， 就 是 皮厚 肉 少,2,0,2,2,2,2,2,2
这 这 这 五 斤 柚子 三 斤 皮 ， 那么 大 个 柚子 剥 出来 那么 小 ， 我 真的 会谢,2,2,2,0,2,2,2,2
真的 是 好吃 的 柚子 ， 水分 多,1,1,2,2,2,2,2,2
好评,2,2,2,2,2,2,1,2
没有 朋友 送 的 甜 ， 汁 水 还是 多 ， 甜度 一般,2,1,2,2,2,2,2,0
太 失望 了 ， 第一 次 买 了 两 个 还 可以 不 酸 水分 也 多 ， 第二 次 买 了 四 个 ！ ！ ！ 白乎乎 没 水分 也 算 了 ， 还 酸 得 很 ， 吃 不 来 酸 的 人 真 的 一百 多 块 钱 打 水漂 了,1,1,2,2,2,1,2,0
买 的 最 大 果 ， 没有 水分 ， 不 甜 。 以前 买 的 都 是 水汪汪 的 ， 甜甜 的 。 浪费 了 。,2,0,2,1,2,2,2,1
该 用户 觉得 商品 不错,1,2,2,2,2,2,2,2
柚子 不 新鲜 收到 是 烂 了 ， 店家 以后 还是 做到 要 卖 新鲜 的 水果,0,2,2,2,2,1,2,1
无籽 ， 口感 干涩 ， 和 正宗 的 柚 一点 都 不 相符 ， 再 也 不 会 买 了 。 差评 差 评 差 评 ！,1,2,2,2,2,0,2,1
不 酸 不 甜 ， 根本 不 是 正宗 的 柚,1,1,2,2,2,2,2,2
好像 摘 下来 了 很 久 了,2,2,2,2,2,0,2,0
味道 有 点 苦 ， 是 假冒 的 ，,2,1,2,2,2,2,2,2
外观 不 太 好看 ， 有 很多 黑 点 。 不 知道 是否 正常 。,2,2,2,2,0,2,2,2
本来 以为 在 京东 买 的 广丰柚子 是 正宗 的 吃 了 之后 又 是 假 的 没 一点 诚信,1,2,2,2,2,2,2,0
东西 蛮 不错 。 值得 再次,1,1,1,2,1,1,2,2
物有所值 。 非常 不错 了,1,1,1,2,1,1,2,2
好 ！ ！ ！,1,1,2,2,2,2,2,2
绝 了 客服 也 很 棒,1,2,2,2,2,2,1,0
柚子 外皮 跟 宣传 的 产品 不 一样 ， 看 着 有 一点 干瘪 ， 买 像 不 是 很 好 ， 开始 心里 一 惊 ， 认为 产品 质量 肯定 不行 。 切开 后 家里人 吃 了 以后 都 觉得 还 不错 ， 口感 不错 ， 很 甜 。,1,1,2,2,0,2,2,1
最 失望 的 一 次 购物 ， 内部 芯 已经 腐烂 ， 味道 酸涩,0,0,2,2,2,2,2,2
买 了 两 个 ， 其中 一个 确实 非常 好吃 ， 吃 完 了 漱口 后 ， 还 留有余味 ， 非常 满意 。 但是 另外 一个 是 除了 水 还是 很多 以外 ， 几乎 没有 任何 味道 ， 我 偿 了 几 口 扔 了 。 老家 也 种 柚子 ， 平时 柚子 也 吃 得 很多 。 买 的 柚子 好 不好吃 就 是 碰 运气 的 。 最近 上饶 不便 去 ， 不然 还是 要 亲自 去 柚 。,1,1,2,2,2,2,1,2
太 难吃 了 ， 皮厚 又 苦 又 干,2,0,2,2,0,2,2,0
一如既往 的 好评 ， 非常 不错,1,1,1,2,1,1,1,2
好,1,1,2,2,2,2,2,2
的确 是 大 的 柚子 ， 果子 大 ， 符合 商家 描述 。皮 比较 厚 ， 从 照片 也 可以 看出 ， 是 一个 完好 的 果子 ， 只是 季节 原因 保存 时间 长 了 水分 挥发 多 ， 口感 显得 干燥 ， 我 一直 在 买 柚子 ， 国内 的 都 存在 保存期 长 水分 少 的 问题 ， 建议 多多 改进 。,1,1,2,2,1,1,1,2
非常 的 喜欢 ， 很 好吃 ， 下次 多 购买 一点 ， 发货 物流 也 非常 快,1,1,2,2,2,1,2,2
真心 无 语 、 完全 不 能 吃 了 还要 放 着 卖 ？ 干 的 一 点 水 份 都 没有 还要 放 卖 、 真是 能 骗 一个 算 一个 吗 ？,2,1,2,2,0,2,2,1
第一 次 买 很 好吃 ， 果嫩 ， 水 多,2,1,2,2,2,2,2,2
快递 到 是 还 可以 ， 可 柚子 实在 是 太 差 了 ， 是 不 是 把 要 留 种 的 寄 给 我 了 ， 老大 的 个头 呀 ， 拿 起来 屁 轻 屁 轻 的 ， 打开 包装 ， 妈 呀 ， 估计 是 把 柚子 太 爷爷 搬 来 了 ， 外皮厚 的 呀 还 抽抽 的 大大 的 褶子 ， 里面 果实 拳头 大 小 了 ， 不光 这样 ， 掰 开 那 大大 的 种子 ， 大拇哥 指甲盖 大 ， 我 也 就是 住 楼房 ， 我 要是 有 院子 ， 真的 直接 种 上 了 ， 直接 扔 了 ， 太 糊弄 人 了 也,1,1,2,0,1,0,2,1
水分 很足 ， 皮 很 厚 ， 好吃,2,1,2,2,0,2,2,1
推荐 朋友 购买 ， 特别 好吃,2,1,2,2,2,2,2,2
物流 很快 ， 第二 天 到 ， 依然 很 好吃,2,1,2,2,2,2,2,2
柚子 又 老 又 苦,0,1,2,2,2,2,2,1
吃 完 还 行 还 会 再 看看,2,1,2,2,2,2,2,2
水分 很 多 。 口感 还是 不错 的 。 甜度 中等 。不酸 。 就是 包装箱 不 咋 地,2,1,2,2,2,2,2,2
口感 特备 好 ， 水分 非常 多 。 剥开 的 时候 水 主流 。 吃 着 过瘾,1,1,2,2,2,2,2,2
犹豫 了 半天 还是 买 了 。 不 后悔 水分 特别 多 。 就是 包装 不 咋 地 ， 送 人 还是 选礼 盒装 的,2,1,2,2,2,2,2,2
水分 多 是 柚 的 特点 ， 但 这 次 买 的 没有 百果园 买 的 甜 。,2,1,2,2,2,2,2,0
物流 速度 在 春节 期间 还 算 不错 ， 一共 四 个 柚子 ， 外表 看 起来 不怎么样 ， 但是 剥 开 之后 吃 了 一下 ， 发现 水分 含量 非常 丰富 ， 一点 都 不 酸 ， 味道 很 不错,1,1,2,2,1,2,2,2
京东 好 货 好 品质 好 服务 好 物流 ， 为 京东点 赞 为 京东点 赞 为 京东 快递 小 哥点 赞 为 京 东 客服点 赞 ！,1,2,2,0,2,1,1,1
皮厚 瓤 小,2,2,2,0,0,2,2,0
比较 酸 ， 皮厚 ， 水分 很足,2,1,2,2,0,2,2,1
没 想到 老家 还有 这样 的 好 东西 ， 水分 足 ， 特别 足,1,1,2,2,2,2,2,2
月日中通 快递员 送 到 了 妈妈 驿站 ， 但 既 没 电话 通知 也 没 发 提货码 ， 直至 月 日 自己 查 快 件 信息 才 发现 ， 希望 商家 今后 不要 和 中通 快递 合作 ， 尤其 是 包头 中通 ， 简直 垃圾,0,2,2,2,2,1,0,1
跟 超市 买 的 不 一样 味道 太 酸 了,2,0,2,2,2,2,2,2
东西 挺 好 的 ， 就是 价格 偏 贵,1,1,0,2,2,2,2,1
水果 很 好 。 建议 冬季 北方 订单 做 必要 的 保温 防冻 措施 ， 现在 全 靠 皮厚,1,2,2,2,0,2,2,1
家乡 的 柚 真 不错 ， 好吃 。 以后 还 会 光顾 的 。,1,1,1,2,1,1,1,2
发货 快 ， 包装 得 好 ， 柚子 收到 完好无损 。 很 好吃 的 柚子 ， 水分 足 ， 稍微 有 点 酸 ， 甜度 也 够 。 好吃 和 好评 ！,1,1,2,2,1,1,1,2
酸甜可口 水 多 ， 我 喜欢 糊 ， 就 是 里面 的 子大 有的 比 西瓜子 还 大,1,1,2,1,2,2,2,2
幸亏 先 买 了 一个 品尝 款 ， 这个 柚子 和 柚风 马牛不相及 ， 了解 柚 的 看 照片 就 知道 。 不知 是 什么 窜 种 的 杂品 ， 味道 平淡 还 有 点 酸 ， 真正 柚 的 甜香 完全 没有 啊,2,0,2,2,1,2,2,1
味道 还 不错 ， 价格 也 很 合适 ， 物美价廉 ！ ！ ！ ！ ！ ！,2,1,1,2,1,2,2,2
水汽 有点 大 ， 不 甜 ， 还 都 有 籽 了 ， 物流 有点 慢,2,0,2,1,2,0,2,1
送 人 的 ， 没有 看到 ， 应该 好吃 吧 ， 物流 给力 很快 就 收到 了 ！,2,1,2,2,2,1,2,2
收到 一 箱 有 四 个 大 柚子 。 两 个 不 甜 ， 两 个 味道 还 行 。 没有 想象 中 的 柚 那么 好吃 。,1,1,2,2,2,1,2,2
皮厚 肉 少 ， 籽 还 大 我 都 不 知道 评价 里 的 是 什么 情况,2,0,2,1,2,2,2,1
不好 ， 核小皮厚 ， 肉 咬 不 动,2,1,2,2,2,2,2,0
说实话柚子 好吃 是 真 ， 看相 一般 ， 价格 高 了 的 。 性价比 一般,2,1,1,2,2,2,2,2
发货 快 ， 包装 得 好 ， 柚 收到 完好无损 。 很 好吃 的 柚 ， 品种 好 ， 新鲜 ， 汁 多 ， 甜甜 的 稍微 带 一点点 酸 。 好评 和 吃 完 再 来 ！,1,1,2,2,1,1,2,2
不错,1,1,1,2,1,1,2,2
发货 快 ， 包装 得 好 ， 柚 收到 完好无损 。 很 好吃 的 柚 ， 新鲜 ， 水分 足 ， 也 蛮 甜 的 ， 带 一点点 酸 ， 好吃 和 好评 ， 吃 完 再 来 。,2,1,2,2,1,1,1,2
今年 的 柚子 不错 ， 口感 很 好,1,1,2,2,2,2,2,2
柚子皮 特别 厚 ， 而且 味道 不 如 传闻 的 好吃,2,0,2,2,2,2,2,0
京东 自营 产品 ， 值得 信赖 。。,2,2,1,2,2,2,1,2
还 可以 会 考虑 再 买 的,1,1,2,2,2,1,2,2
收到 了 一个 坏果 ， 联系 店家 后 立马 补 寄 了 一个 好 的 。 水果 难免 有 磕碰 损坏 ， 商家 信誉 不错 ～ 柚子 本身 水分 较 多 ， 但 不 知道 是 不 是 过 了 季节 ， 不 是 很 甜 。,1,1,1,2,1,1,0,1
根本 就 不 是 柚 ， 口感 不好 ， 水份 也 不足,2,0,2,2,2,2,2,0
感觉 还 不错 ， 性价比 还 行 。 值得 试试,1,1,1,2,1,1,2,2
外观 很 大果 ， 掂 起来 不 是 很 重 ， 外皮 看上去 较 粗糙 ， 打开 后心 是 红心 ， 外瓤 较 厚 ， 水 份 略 感 不足 ， 甜度 还 好 。 总体 马马虎虎 。,2,0,2,0,1,2,2,1
还 行,1,2,2,2,2,2,2,2
还 可以 吧 ， 就 是 水分 不 多,1,0,2,2,2,1,2,1
第一 次 买 这家 的 ， 包装盒 没 个 统一 的 物流 还 算 快 ， 剥 开 一个 尝 了 尝 不 甜 。。。,2,0,2,2,2,1,2,1
这个 柚 不 是 正宗柚 味道 不 好 水 份 还 干 关键 连肉 都 干 的 发白 了 根本 没法 吃 还 死贵 买 了 两 个 打开 直接 扔 了,0,0,2,2,0,2,2,2
完全 名不符实 ， 带 酸 不 甜 ， 这么 厚 的 皮 居然 瓤 都 能 干 了 ， 是 有 多 不 新鲜 啊 ！,0,0,2,2,0,2,2,0
收到 了 柚子 没有 介绍 的 好吃 ， 口感 淡淡的 ， 很 失望,0,1,2,2,2,1,2,1
买 过 很多 品种 的 柚子 ， 第一 次 买 到 是 有 籽 的 柚子 ， 最 主要 皮 特别 厚 ， 酸得来 ， 不 会 再 购买 了,1,2,2,2,0,2,2,1
果 很 大 ， 但 里面 肉 只 有 一半 ， 有 点 干,2,0,2,1,0,2,2,1
柚子 是 柚 ， 品质 不 高 ， 包装 简单 配送 也 还 蛮 快 。,1,2,2,2,1,1,2,2
柚子 收到 啦 表皮 光滑 ， 剥开 皮薄 肉 多 果肉 也 饱满 好 剥 ， 果肉 嫩嫩哒 好吃 ， 很 新鲜 而且 水分 足 。 没有 坏 的 了 ， 个头 很 均匀 每个 都 是 好好 的 ， 没有 磕碰 ， 拿 着 手里 看 着 新鲜 是 真的 好吃 ， 汁水 甘甜 ， 柚子 的 香味 很 浓 。 不 会 像 其它 的 柚子 一样 有点 苦味 ， 柚子皮 里 的 囊 比较 厚 ， 很 适合 清炒 。,1,1,2,1,1,2,2,2
柚子 已 收 ， 看上去 不错 ， 两 个 斤 多 ， 用 京豆 抵 现 ， 价格 实惠 ， 还 未 品尝 ， 相信 品质 不错 京东 大 平台 ， 进入 商家 正规 ， 待 品尝 后 再 追评 。 需要 尝 鲜 的 朋友 可以 下单 。 商家 服务 热情 ， 快递 送货上门 。 给予 点赞 。,1,1,1,1,1,1,1,2
第一 次 网上 购买 柚子 ， 听说 柚 好吃 ， 试 了 试 ， 感觉 没 那么 好吃 ， 皮厚 不 说 ， 就 是 这 品种 ， 但 水份 肯定 不 算 多 ， 有 干感 ， 可能 买 大 了 ， 肉 老 核 多 ， 性价比 不 高 。,1,1,0,1,0,2,2,1
酸 的 都 快 掉 牙 了 ， 大家 千万 不要 买 ， 不要 上当 了 ， 完全 没有 一 丝 甜味 。 幸亏 我 就 买 了 一个 ， 东西 直接 扔 了 。,1,0,2,2,2,1,2,1
每年 这个 季节 必须 品尝 的 最 好吃 的 柚子,1,2,2,2,2,2,2,2
极 差 的 体验 。 个 柚子 ， 没有 一个 能 吃 的 。 柚 我 吃 过 多次 ， 这 次 的 个柚子 根本 不 是 柚 。,0,0,2,2,2,2,0,0
元 就 买 这种 精品 ， 晕 死 我 了 。 差评 差评 差评,0,2,2,2,2,2,2,2
汁 超级 多 ， 最 好吃 的 柚子 ， 没有 之一 ， 哈哈,1,2,2,2,2,2,2,2
口感 偏 酸 ， 比较 新鲜 。,1,0,2,2,2,2,2,1
完美 ， 产品 很 惊艳 ， 性价比 合适 ， 希望 用 的 长久 ！ 双十一 的 宝贝 收到 了 ， 太 惊喜 了 ， 质量 非常 好 ， 性价比 很 高 ， 真是 出乎 我 的 意料 ！,1,2,1,2,1,1,2,2
水份 还 可以 ， 味道 就 一般 ， 很 淡,2,0,2,2,2,2,2,2
不 知道 说 啥 好 ， 本来 是 相信 江西 广播 电台 的 直播 推荐 的 ， 再 加上 又 是 助 农产品 ， 贵 就 贵 一点 （ 菜场 是 这 一半 的 价格 ） 好吃 就 行 ， 谁 知道 收到 后 太 让 人 失望 ， 个 柚子 一个 有 水分 ， 一个 没 水分 。 而且 都 不 甜 ， 一点 都 不 甜 。 跟 菜场 比差 远 了 ， 江西 广播 电台 也 让 我 失望 ， 以后 再 也 不 相信 这种 什么 直播 带 货 了,1,1,0,2,2,1,2,1
没有 水分 了,2,0,2,2,2,2,2,0
东西 已经 收到 了 ， 和 介绍 一样 ， 但是 味道 没有 想象 中 的 好 ， 尝尝 就 好 了 ， 价格 比 普通 的 贵 三 倍 多 ， 性价比 不 高 。,2,0,0,2,2,1,2,1
很 好吃 ， 水分 足 ， 每年 都 买 。,2,1,2,2,2,2,2,2
不 是 两 箱 吗 ？ 一个 盒子 柚子 ， 皮 很 厚 ， 肉 很 小 ， 很 干 ， 很 苦 ， 和 我们 去年 买 的 不 一样 ， 质量 很 差,0,0,2,2,0,2,2,2
货 很 不好 ， 瓤 很 小 ， 水分 也 不 多 。,2,0,2,0,2,2,2,0
不如 第一 次 买 的 好吃 了 ， 遗憾 。,0,1,2,2,2,2,2,1
基本 不 能 吃 ， 一股子 坏 掉 的 味道 ， 每天 从 外面 回家 ， 进 门 一股子 坏 味儿 ， 全都 扔掉 了 ， 既然 不 是 这个 季节 的 水果 ， 干嘛 还要 卖 ！ 太 了 ！,2,1,2,2,2,2,2,0
这个 真的 是 不 知道 该 说 什么 了 ， 买 的 两 个 礼盒 装 ， 没有 礼盒 ， 用 破 箱子装 的 ， 但是 给 了 三 个 ， 这 就 无所谓 了 ， 反正 自己 吃 ， 但是 这 柚子 也 太 差 了 吧 ， 本来 个 头 就 不 大 ， 皮 占 了 一半 ， 剥皮 之前 是 柚子 ， 剥皮 之后 就 剩 个 橘子 了 。。。 其中 一个 还 跟 水 似的,0,0,2,2,2,2,2,0
里面 都 是 坏 的 ， 估计 放 了 好 多 了 ， 商家 要求 退 钱,1,1,2,2,2,2,0,1
不 是 柚子 的 季节 ， 但是 很 好吃,2,1,2,2,2,2,2,2
味道 很 好 ， 口感 正宗 ，,2,1,2,2,2,2,2,2
比较 一般 ， 去 超市 买 的 小 ， 不 知道 是 不 是 季节 不 够 ， 快递 太 慢 了,2,2,2,0,2,0,2,2
口感 还 不错,2,1,2,2,2,2,2,2
这 次 的 柚子皮 特别 厚 ， 不好吃 ！,2,0,2,2,2,2,2,2
外包装 有点 瑕疵 啊,2,2,2,2,0,2,2,2
物美价廉 ， 老人 喜欢 。,1,2,1,2,1,2,2,2
皮厚籽 多 ， 味道 难吃 ！ 芋头 还 有 坏 的 ！,0,0,2,2,2,2,2,0
正宗 ， 确确实实 的 江西 名牌 产品 ！,1,2,2,2,2,2,2,2
有 一 块 皮 发 黑 了 ， 其他 还 好,1,1,2,2,2,2,2,2
只能 说 不 是 吃 柚子 的 季节 ， 千万 不要 去 买 。 难吃 ， 有 点 苦 ， 味道 怪 怪 的 ， 很 不 新鲜 。 还好 是 看 直播 便宜 买 的 ， 不然 被 商家 。,0,0,1,2,2,2,2,1
非常 差 的 柚子 ， 非常 酸 ， 不 新鲜 ， 有 个别 都 腐烂 臭 了 ， 售 后 也 差,0,2,2,2,2,2,2,0
非常 好 ， 非常 好 。 特别 好吃 。,1,1,2,2,2,2,2,2
比 超市 的 普通 品种 好吃 ， 但 不够 新鲜 ， 也 不 够 正宗 ， 有点 遗憾 ！,1,1,2,0,2,2,2,1
帮 同事 买 点 的 ， 不错 ， 也 好吃,1,1,1,2,1,1,2,2
发霉 了 ， 蒂 不 新鲜 ， 口感 也 没有 实体店 买 的 好 ， 肉质 也 没有 拉丝感 和 嚼劲 ， 应该 是 放 久 了 ， 价格 跟 新鲜 的 卖 一个 价 感觉 有些 不 值得 。,0,1,0,2,2,0,2,1
垃圾 都 烂 了,0,2,2,2,2,0,2,0
东西 收到 后 已经 坏 了 ！,0,2,2,2,2,1,2,1
老太太 说 太 好吃 了 ， 看 着 丑 ， 但 水灵灵 的 很 甜 ， 吃 完 再 回购 ， 谢谢 店家 ！,2,1,2,2,2,2,1,2
好吃 ， 一直 买 它 ， 喜欢,1,1,2,2,2,2,2,2
超级 好吃 ， 一直 买 它 ， 喜欢,1,1,2,2,2,2,2,2
超级 好吃 ， 多次 买 它 ， 喜欢,1,1,2,2,2,2,2,2
柚 名气 很 大 ， 京东 能 淘 到 很多 好 宝贝,1,1,2,1,2,2,2,2
好吃 的,2,1,2,2,2,2,2,2
皮太 厚 了 ， 剥 开 里面 几乎 啥 都 没有 ， 坑 大 发 了,2,0,2,1,2,2,2,1
号 下单 ， 号 终于 到 了 ， 打开 箱子 就 发现 坏 了 一个 ， 疫情 期间 这 也 情有可原 吧 ， 尝 过 后 再 追评 。,0,2,2,2,2,2,1,1
果 实在 太 小 ， 很 酸,2,0,2,0,2,2,2,2
四 个 打开 全 扔掉 了 不 知道 是 个人 口味 不同 还是 怎么 了 不 是 一般 的 难吃,2,0,2,0,2,2,2,2
太 干 了 。 太 难吃 了 。 里面 都 烂 了 。 与 宣传 不符,0,0,2,2,0,2,0,2
这 次 买 的 非常 不好 ， 皮超 厚 ， 剥 出来 柚子 肉 一点点 ， 还 酸 ， 没有 上次 买 的 两 个 装 的 好 ， 下次 不 敢 买 了,1,0,2,2,2,2,2,1
挺 好 的,1,1,2,2,2,2,2,2
水分 超足 ， 口感 超棒 ， 是 我 吃 过 的 最 好吃 的 柚子 ， 一定 分享 给 周围 的 亲戚 和 好 朋友 ， 柚子 ， 果然 名不虚传 ， 一下子 就 爱上 了 ， 清凉 爽口 ， 是 柚子最最 原始 的 味道 ， 实在 太 赞 ， 家里 吃 过 的 人 都 赞不绝口 ， 好评 ！ 以后 还 会 回购 的,1,1,2,2,2,2,1,2
在 疫情 当下 能 坚持 快速 配送 值得,2,2,1,2,2,1,2,2
非常 好 ， 肉 是 红 白 相间 ， 水份 很足 ， 再 买 ！,1,1,2,2,2,2,2,2
非常 好 ， 非常 喜欢 ， 物流 也 快 。,1,1,2,2,2,1,2,2
非常 不错 ， 还 行 ， 物美价廉,1,1,1,2,1,1,2,2
不错 ， 好吃 ， 物美价廉,1,1,1,2,1,1,2,2
非常 好吃 ， 不错 ， 物美价廉,1,1,1,2,1,1,2,2
还 不错 ， 物美价廉 ， 会 再 买,1,1,1,2,1,1,2,2
不错 ， 物美价廉 ， 会 再 买,1,1,1,2,1,1,2,2
不错 ， 非常 好吃 ， 价格 再 优惠 点 就 更 好 了,1,1,1,2,1,1,2,2
非常 好吃 ， 不错 会 再 买,1,1,1,2,1,1,2,2
非常 好 ， 会 继续 买 的 ， 不错,1,1,1,2,1,1,2,2
非常 不错 ， 物美价廉 ， 会 再 买,1,1,1,2,1,1,2,2
非常 好吃 ， 物美价廉 ， 不错,1,1,1,2,1,1,2,2
买 了 吃 着 不错 ， 就是 太 小 了 点,1,1,1,0,1,1,2,1
非常 不错 ， 物美价廉 ， 好吃,1,1,1,2,1,1,2,2
不错 ， 好吃 ， 会 再 买 的,1,1,1,2,1,1,2,2
多次 回购 ， 水果 完好 ， 果肉 多 汁 ， 物美价廉 ，,1,2,1,2,1,2,1,2
收到 了,2,2,2,2,2,1,2,2
今年 的 很 小 ， 味道 不 如 去年,2,2,2,0,2,2,2,2
柚子 可以 ， 又 好吃 ， 分量 又 足 。 满意 的 一 次 购物 ， 下次 还 会 再 来 购买 。,1,1,2,1,2,2,1,2
用 了 觉得 很 不错 ， 商品 质量 好 ， 发货 也 挺 快 的 ， 总之 就 是 很 赞 了,1,1,1,2,1,1,2,2
柚子 看 着 很 新鲜 ， 去年 种 果树 兑换 的 很 好吃 ， 今年 买 回来 看 着 没有 之前 的 红 。,1,2,2,2,1,2,2,2
