分词,评分,评论时间
比超市的普通品种好吃，但不够新鲜，也不够正宗，有点遗憾！,5,2020-03-20 01:07:24
帮同事买点的，不错，也好吃,5,2020-03-18 16:46:37
发霉了，蒂不新鲜，口感也没有实体店买的好，肉质也没有拉丝感和嚼劲，应该是放久了，价格跟新鲜的卖一个价感觉有些不值得。,3,2020-03-16 21:56:44
垃圾都烂了,1,2020-03-14 19:20:43
东西收到后已经坏了！,1,2020-03-13 04:40:50
老太太说太好吃了，看着丑，但水灵灵的很甜，吃完再回购，谢谢店家！,5,2020-03-11 20:41:38
好吃，一直买它，喜欢,5,2020-03-10 07:07:23
超级好吃，一直买它，喜欢,5,2020-03-10 07:06:23
超级好吃，多次买它，喜欢,5,2020-03-10 07:05:41
柚名气很大，京东能淘到很多好宝贝,5,2020-03-05 09:44:51
好吃的,5,2020-03-04 07:56:45
无话可说，看图吧！,1,2020-03-02 18:31:18
皮太厚了，剥开里面几乎啥都没有，坑大发了,1,2020-03-02 15:45:09
号下单，号终于到了，打开箱子就发现坏了一个，疫情期间这也情有可原吧，尝过后再追评。,5,2020-02-28 13:58:44
果实在太小，很酸,5,2020-02-24 22:04:26
四个打开全扔掉了不知道是个人口味不同还是怎么了不是一般的难吃,5,2020-02-24 07:49:25
太干了。太难吃了。里面都烂了。与宣传不符,5,2020-02-20 22:09:06
这次买的非常不好，皮超厚，剥出来柚子肉一点点，还酸，没有上次买的两个装的好，下次不敢买了,1,2020-02-20 21:55:16
挺好的,5,2020-02-20 15:44:57
水分超足，口感超棒，是我吃过的最好吃的柚子，一定分享给周围的亲戚和好朋友，柚子，果然名不虚传，一下子就爱上了，清凉爽口，是柚子最最原始的味道，实在太赞，家里吃过的人都赞不绝口，好评！以后还会回购的,5,2020-02-19 11:43:54
在疫情当下能坚持快速配送值得,5,2020-02-18 23:24:16
非常好，肉是红白相间，水份很足，再买！,5,2020-02-18 12:50:51
非常好，非常喜欢，物流也快。,5,2020-02-17 10:59:01
非常不错，还行，物美价廉,5,2023-09-30 17:51:08
不错，好吃，物美价廉,5,2023-09-29 16:48:03
非常好吃，不错，物美价廉,5,2023-09-29 16:47:38
还不错，物美价廉，会再买,5,2023-09-23 22:39:01
不错，物美价廉，会再买,5,2023-09-23 22:39:33
不错，非常好吃，价格再优惠点就更好了,5,2023-09-15 20:54:15
非常好吃，不错会再买,5,2023-09-01 18:49:22
非常好，会继续买的，不错,5,2023-08-29 19:41:36
非常不错，物美价廉，会再买,5,2023-10-12 21:10:20
非常好吃，物美价廉，不错,5,2023-10-19 08:35:30
买了吃着不错，就是太小了点,5,2023-10-30 23:01:21
非常不错，物美价廉，好吃,5,2023-10-19 08:35:56
不错，好吃，会再买的,5,2023-09-29 16:46:29
至今未收货,1,2023-01-17 16:18:32
多次回购，水果完好，果肉多汁，物美价廉，,5,2023-01-05 07:10:43
收到了,5,2022-11-15 14:06:19
今年的很小，味道不如去年,5,2022-11-13 16:48:26
柚子可以，又好吃，分量又足。满意的一次购物，下次还会再来购买。,5,2022-11-11 17:13:57
用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了,5,2022-11-11 10:35:22
柚子看着很新鲜，去年种果树兑换的很好吃，今年买回来看着没有之前的红。,5,2022-11-07 16:16:42
不较熟，水少,3,2022-11-01 20:42:12
柚子过季了，整体不太新鲜也有苦味，明年再来吧,5,2022-10-30 18:35:56
柚子不大，但挺好吃的。,5,2022-10-18 13:45:53
上次吃这柚子还是前年，好可怜哦,4,2022-10-15 22:20:21
蛮好吃的，就是皮太厚了,5,2022-10-14 10:18:42
多次购买，品质比较稳定，酸甜度适中，水分足,5,2022-09-28 16:47:25
一点都不甜一点都不甜一点都不甜没味道,1,2022-09-23 21:40:04
我觉得非常好，物流特别快，客服人很好，水果个头也很大，果实很饱满。推荐大家购买！,5,2020-10-16 19:15:32
两个红心柚子大小一样，已经吃了一个，非常甜，皮也不厚，分量也很足，卖家发货速度很快，快递员态度也很好送到家门口，非常满意,5,2020-09-27 18:38:27
红心柚，一箱两个，个头不是特别大，但质量很好。收到时很新鲜，想着放一放再吃，应该会更好吃。随箱附着有说明，还有一个小零件，不知道是用来干什么的。柚子放了一阵后，有柚香味了，柚皮黄黄的、软软的，皮子也特别薄，很不错。,5,2020-10-11 19:59:33
物流必须大大地赞，这速度杠杠的，从农场种的东西都很好吃，寄来一个箱子，里面的柚子还包了一层塑料袋，包装不错人性化，柚子完好无损，水分大微酸，清甜，一点点苦味，剥开色红，不错不错，满屋子柚子皮的香味，五分好评。,5,2020-10-26 15:46:51
酸,3,2021-04-03 09:16:11
包装完好无损，韵达物流很快，红心蜜柚很新鲜棒棒哒,5,2020-09-22 14:10:24
东东农场得来的，真心不错哦，发货快，快递也给力，柚子很新鲜。满意～,5,2020-10-03 13:07:45
物流很快，收到货后拿回家立马打开看了，两个柚子品相不错，还没有打开吃呢，果香味很足，期待,5,2021-02-03 18:25:24
好失望，柚子皮非常厚又硬，个头又小，那些好评绝对是刷出来的,1,2022-09-21 19:51:02
水份差点,3,2022-09-12 16:25:49
很满意挺不错的,5,2022-02-16 21:08:02
柚子挺新鲜的，皮薄肉厚汁多，挺好吃的,5,2022-02-11 00:14:50
好好吃，很甜果子很好,5,2022-01-26 00:59:06
为什么柚子是苦的。你的良心不痛吗？,1,2022-01-20 20:51:35
到现在也没收到退款差评,5,2022-01-19 20:57:45
柚子不错，红心的，很甜，个子很大。,5,2022-01-13 09:17:22
有点酸,5,2022-01-08 22:49:28
包装很有个性啊，纳爱斯meet柚，十分有意思。没有破损，也很快速。柚子的个头也很大，水分也很足，味道也不错，如果找缺点的话，就是芯不红啊。,5,2022-01-08 11:09:47
这个柚子特别好水份大好吃,5,2022-01-03 09:55:31
很好,5,2021-12-29 11:19:03
宝贝不错，汁水多、又甜，很好吃！,5,2021-12-28 11:03:06
宝贝不错，汁水足，又甜，很好吃！,5,2021-12-28 11:02:42
东西是坏的，果肉非常干，生鲜不给退，商家很蛮横,1,2021-12-28 08:12:43
这柚子真的太好了，还没有烂完，要是全部烂完就完美了，另外一个要是在小一点就好了，像鸡蛋一样，多好播这家的柚子我真是谢谢你，我也谢谢京东,1,2021-12-27 00:04:59
有一个是烂的，另外一个是白心的，是酸的，差得很,1,2021-12-26 20:25:57
买了他们家很多的游子，去年买了，今年也满了。一直喜欢吃肉。肉非常的嫩，水也非常的多。等我吃完了，我还会去他家买。感谢快递小哥，辛苦啦。,5,2021-12-25 21:29:54
柚子包装很好，到货快，色泽诱人，甜甜酸酸的，特别好吃，很喜欢，已经买好几次了。,5,2021-01-02 17:09:05
比较甜的柚子，红心的柚子，很好吃，下回还在这里买，一会儿就吃了一个大的柚子，还是大的好吃。,5,2021-01-01 19:25:09
京东农场种的，非常新鲜的。外表金黄，皮薄肉大，果肉成紫红色，酸酸甜甜的口感正好。快递包装完好无损，速度也快。满星好评！,5,2020-11-07 17:37:58
东东农村来的柚子。红心柚子，味道不错，发货快，物流也还给力，非常满意～,5,2020-11-05 15:45:29
真心不错，皮薄汁多酸甜可口,5,2020-10-19 15:23:31
不错，很好，非常新鲜的。外表金黄，皮薄肉大，果肉成紫红色，酸酸甜甜的口感正好。快递包装完好无损，速度也快。满星好评！,5,2020-10-18 12:25:33
红心柚果肉非常诱人，一拿回来就迫不及待开了个，切开皮闻到浓浓的柚子香味，酸酸甜甜好吃，皮薄肉厚颜色非常好看，有点点酸头感觉挺好吃的，果肉颗粒清晰可见粒粒饱满感觉非常好，满手的果香都舍不得洗手了，太喜欢这种香味了果实饱满，最重要的还是很实惠吃完继续买。,5,2020-10-18 11:52:34
柚子收到了，非常好吃，也非常满意。已经买了很多次了。水分非常多，粒粒肉饱满,5,2020-10-11 19:58:59
红心柚子含有丰富的维生素c也含有丰富微量元素，是一款营养价值很高的一款水果，柚子收到就迫不及待切开吃了，皮薄肉多，很甜，不酸，好吃还不贵，比超市那种白心的还便宜，一吃就停不下来了！孩子也喜欢吃！一会的功夫俩孩子就吃完了！,5,2020-09-26 19:23:14
产品包装合理，水果新鲜水质清甜，快递也快，食用还是很好味道。,5,2020-12-17 11:22:01
一个月买次真的好吃新鲜的很,5,2021-12-16 18:10:49
好评，三个都很大，还没吃，闻着很香柚子味。,5,2021-12-16 17:42:52
说实话就是有点酸,5,2021-12-13 10:40:03
之前是朋友在这一家店买的柚子。然后吃着很甜，也很好吃。这一次我自己下了，一单买了两个。刚开始打开的时候，外面有点儿那个坏的样子。给客服发了信息，客服给说是不是坏的，然后我自己打开了。那个里边儿一点儿事儿没有，应该外面是正常的现象。挺好吃的，也不也不会说太干，然后那个酸甜酸甜的。有时间的话，再回购几单。在买着吃。,5,2021-12-12 14:21:51
买的发霉的柚子，不要买,5,2021-12-12 07:30:00
买四个烂两个,1,2021-12-11 22:29:08
质量不错我很喜欢，味道不错水多果甜，快递也很快,5,2021-12-11 19:31:43
常买，全家人一起享用,5,2021-12-11 16:50:12
柚子已经不好吃了，苦，有酒味,1,2021-12-11 10:55:25
皮太厚，不是很好,5,2021-12-11 00:02:30
回购,5,2021-12-09 11:02:36
芯不红，感觉没熟透。有点失水。一般一般一般。,4,2021-12-07 21:03:41
不错的一次购物体验，个大又好吃，还会再来买的。,5,2021-12-07 19:38:42
货物收到了，包装简单，柚子三个不知如何，尝试后再说。,4,2021-12-07 18:25:19
好吃不错价格不算实惠,5,2021-12-04 17:03:17
不错，酸甜可口，会回购的，好吃,5,2021-12-03 18:52:32
特别垃圾旗舰店，特别垃圾旗舰店，千万别买,1,2021-12-03 18:47:46
商家人不错，少发一个，立马补赔了。吃起来味道很不错,5,2021-12-02 14:39:53
京东商每天种水果送的！很甜，水份也相当足好评！多年来一直在京东上买东西，一直是忠实的顾客。京东上的第三方买家，有些差异，遇到差的第三方，只要找京东，基本都能解决。京东上时有的活动，价格又很实惠。何乐而不为呢？,5,2020-11-25 20:21:47
红心柚收到，是京东农场种树收获的水果，一箱两个，个头不是特别大，但质量很好，很新鲜，外表金黄，切开皮浓浓的柚香，果肉红艳诱人，肉质紧实，果粒饱满多汁，味道清甜微酸，口感好。店家发货快，快递给力，包装完好无损。谢谢店家，谢谢京东，祝老板生意兴隆！,5,2020-11-24 14:40:26
柚子特别好，从广西运到我们东北真的是不容易，我们现在都零下十多度了，我把它缓缓了三四个小时，然后才吃口感相当好,5,2020-11-23 17:55:59
红心蜜柚酸甜可口！京东商城的这个种水果的活动搞得非常非常好，动动手指浇浇水，然后再花一分钱就能买到想吃的水果！这次的柚子是梅州柚！感觉超棒！大家快来买几个吃吃看吧！,5,2020-11-14 08:05:24
蜜柚个大肉质厚，与图片上的蜜柚还好，物流不错发货超级快，取快递方便，服务质量优良给商家点！,5,2020-11-11 18:43:10
红柚收到，非常新鲜，成实个头大，打开看看果肉非常饱满，皮薄。尝了一尝口感挺好，酸甜可口，非常好。,5,2020-11-10 15:28:11
是种树浇水得的，但质量也得过硬才行呢,3,2021-03-16 21:23:54
果子的个头很大，鲜果，服务态度也好，物流也很给力，这次购物非常满意！,5,2020-11-09 16:25:12
鲜嫩爽口，真正的物美价廉，比超市买的便宜太多，柚子不上火，果肉非常细腻，一口咬下去，唇齿留香，看皮看得出挺新鲜的，还可以加些蜂蜜坐蜂蜜柚子茶，又是一种独特的风味，果肉全是黄色的，晶莹剔透，多汁饱满，吃起来酸酸甜甜的，很满意,5,2020-11-09 11:41:42
真的太好了，满意，皮真的超级薄,5,2020-11-01 09:42:56
