评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
个 柚子 ， 两 个 干心 ， 你们 还 敢 买 吗,0,2,2,2,2,2,2,0
不 是 福建发 的 货 不 联系 ， 南宁 发 的 货 要不得,2,2,2,2,2,2,0,0
皮太厚 了 ！ ！,0,2,2,2,2,2,2,0
纸箱 全部 破损,2,2,2,2,0,2,2,0
没 水分 不好吃,0,0,2,2,2,2,2,0
多次 购买 ， 十一 期间 买 来 送 朋友,1,1,2,2,2,2,2,2
不 是 正宗平 和 三 红柚 ， 偏酸,0,0,2,2,2,2,2,0
送给 家人 的 中秋 礼物 ， 家人 很 开心 ！,1,2,2,2,2,2,2,2
送给 远方 亲人 的 中秋 礼物 ， 家人 开心 ！,1,2,2,2,2,2,2,2
红釉 真 美 ， 香甜 可口 。 水分 十足 。 还 会 来 复购 的 。,1,1,2,2,1,2,2,2
纯甜 无酸 ， 很 水灵,1,1,2,2,2,2,2,2
是 小果,2,2,2,0,0,2,2,0
非常 感谢,1,1,2,2,2,2,2,2
好苦,2,0,2,2,2,2,2,0
好苦 ， 难以下咽,2,0,2,2,2,2,2,0
非常 后悔 的 一 次 购物 。,0,0,2,2,2,2,2,0
盆友圈 推荐 、 果断 买 、 值值值,1,2,2,2,2,2,2,2
本身 就 六 个 果子 但 其中 有 一个 有 瑕疵 商家 不 认 算 了 不 想 多 说,0,2,2,2,2,2,0,0
不好吃 ， 不 像 超市 里 的 红心柚,0,0,2,2,2,2,2,0
不要 买 不 能 吃 。 没 水份 干巴巴,0,0,2,2,2,2,2,0
又 是 汁 很多 啊 ， 就 是 那个 字 太 多 了,0,0,2,2,2,2,2,0
多 汁 无味,2,0,2,2,2,2,2,0
这 是 的 果 没 上次 买 的 靓 ！ 感觉 其 奇形怪状 的 ！ 还 没 吃 味道 待 知,2,0,2,2,0,2,2,0
柚子 真 的 狠好 吃 我 买 了 好几 次 了 。,1,1,2,2,2,2,2,2
差劲,0,0,2,2,2,2,2,0
下次 继续 购,1,2,2,2,2,2,2,2
没 啥 味道 不好吃,2,0,2,2,2,2,2,0
一个 味道 不好吃,2,0,2,2,2,2,2,0
太坑 了 ， 就 两 个 ， 还 到 个 那 我 还 不如 买 两 个 的 价格,2,2,0,0,2,2,2,0
泛苦 ， 真是 晕 死 ， 不好 吃 ， 总共 三 个,2,0,2,0,2,2,2,0
亲身 体验 ， 还是 不要 买 这种 柚子 了 ， 买 的 大果 就 这样 ？ 主 打 一个 赶 鸭子 上架 ， 鸡蛋 当 鸡 卖,0,2,2,0,0,2,0,0
你们 应该 等 它 熟 了 再 卖,0,0,2,2,0,2,0,0
调味够 ， 热量 低 。 减脂 首选,2,1,2,2,2,2,2,2
标准 沙田柚 ， 色味 正道,1,1,2,2,2,2,2,2
很 甜汁 多,1,1,2,2,2,2,2,2
与 描述 不 附,0,2,2,2,2,2,0,0
肉小,0,2,2,2,0,2,2,0
皮太厚肉 小青涩,0,2,2,2,0,2,2,0
一个 柚子 全 是 皮,0,2,2,2,2,2,2,0
一 箱 三 个 柚子 很 有 水分,1,2,2,1,2,2,2,2
最 多 值 五 块 钱 一个 ， 不能 再 多 了,0,2,0,2,2,2,2,0
发货 速度 很快 ， 已经 使用 了,2,2,2,2,2,1,2,2
汁水 饱满,1,1,2,2,2,2,2,2
高效率,2,2,2,2,2,1,2,2
物流 很快,2,2,2,2,2,1,2,2
发货 速度 很快,2,2,2,2,2,1,2,2
就 这个 口味 ， 还 敢 卖 这个 价格,2,0,0,2,2,2,2,0
每年 都 要 买 的 ， 买 了 寄 回 老家,1,2,2,2,2,2,2,2
买 的 是 大果 而 发 的 是 小果,0,2,2,2,0,2,2,0
可能 是 尾货 有 一个 不好 ， 但是 商家 赔 了 差价,0,2,2,2,2,2,1,1
用 柚子皮 做 了 柚子 茶 ， 成功,1,1,2,2,2,2,2,2
可能 需要 放 一 段 时间,0,0,2,2,2,2,2,0
包装 完好无损 ， 汁水 多 ！ ！ ！ ！,1,1,2,2,1,2,2,2
送礼 自用 两 相宜 ， 一 次 购足 。,1,1,2,1,1,2,2,2
纯甜 的 柚子 ， 每年 就 等 这 一刻 。,1,1,2,2,2,2,2,2
不 知道 什么 东西 肯定 不好吃,0,2,2,2,2,2,2,0
赠品 在 哪里 ？ 目前 还 没 看到,2,2,2,0,2,2,0,0
不行,0,0,2,2,2,2,2,0
花 了 差不多 五十 块 钱 买 了 两 小小的 柚子味 的 和 在 拼夕夕 买 的 一样 才 十 块 ， 真是 个 服 了,2,2,0,2,2,2,0,0
你 店铺 那里 八百 年 没 卖 了 的 卖 给 我们,0,0,2,2,2,2,2,0
